Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,12.0,99.51,,39.931,34.944,289.0,MEDIUM
VER,2.0,11.0,114.938,18.209,54.569,42.16,320.0,MEDIUM
VER,3.0,10.0,98.051,23.196,41.997,32.858,321.0,MEDIUM
VER,4.0,10.0,89.504,18.166,38.187,33.151,312.0,MEDIUM
VER,5.0,10.0,89.813,18.056,37.945,33.812,319.0,MEDIUM
VER,6.0,9.0,89.412,18.012,38.101,33.299,322.0,MEDIUM
VER,7.0,9.0,89.885,18.085,38.58,33.22,308.0,MEDIUM
VER,8.0,9.0,89.824,18.021,37.966,33.837,329.0,MEDIUM
VER,9.0,8.0,89.445,18.085,38.121,33.239,326.0,MEDIUM
VER,10.0,8.0,90.449,18.135,38.811,33.503,306.0,MEDIUM
VER,11.0,8.0,90.395,18.08,38.538,33.777,308.0,MEDIUM
VER,12.0,7.0,90.164,18.099,38.564,33.501,306.0,MEDIUM
VER,13.0,6.0,90.178,18.103,38.737,33.338,310.0,MEDIUM
VER,14.0,6.0,90.128,18.006,38.876,33.246,311.0,MEDIUM
VER,15.0,5.0,89.876,18.019,38.636,33.221,308.0,MEDIUM
VER,16.0,5.0,90.047,18.052,38.838,33.157,306.0,MEDIUM
VER,17.0,5.0,89.909,17.979,38.793,33.137,308.0,MEDIUM
VER,18.0,5.0,89.826,18.028,38.64,33.158,305.0,MEDIUM
VER,19.0,5.0,90.076,18.077,38.705,33.294,305.0,MEDIUM
VER,20.0,5.0,90.004,18.006,38.823,33.175,307.0,MEDIUM
VER,21.0,4.0,89.695,17.975,38.588,33.132,310.0,MEDIUM
VER,22.0,4.0,89.889,18.023,38.754,33.112,307.0,MEDIUM
VER,23.0,4.0,89.939,17.972,38.798,33.169,308.0,MEDIUM
VER,24.0,4.0,89.75,17.969,38.653,33.128,309.0,MEDIUM
VER,25.0,4.0,89.852,17.97,38.656,33.226,306.0,MEDIUM
VER,26.0,4.0,90.268,17.964,38.827,33.477,310.0,MEDIUM
VER,27.0,3.0,89.897,17.942,38.858,33.097,310.0,MEDIUM
VER,28.0,3.0,90.274,17.994,39.156,33.124,308.0,MEDIUM
VER,29.0,3.0,91.857,17.92,38.668,35.269,307.0,MEDIUM
VER,30.0,11.0,119.495,49.136,38.137,32.222,309.0,HARD
VER,31.0,10.0,88.088,17.867,37.731,32.49,325.0,HARD
VER,32.0,10.0,88.528,17.891,38.182,32.455,306.0,HARD
VER,33.0,9.0,88.333,17.735,38.162,32.436,311.0,HARD
VER,34.0,9.0,88.409,17.725,38.227,32.457,311.0,HARD
VER,35.0,9.0,89.111,17.662,37.912,33.537,314.0,HARD
VER,36.0,8.0,88.557,18.023,37.998,32.536,330.0,HARD
VER,37.0,8.0,88.413,17.714,38.254,32.445,311.0,HARD
VER,38.0,8.0,88.36,17.67,38.204,32.486,309.0,HARD
VER,39.0,8.0,88.296,17.724,38.101,32.471,309.0,HARD
VER,40.0,8.0,88.345,17.675,38.155,32.515,310.0,HARD
VER,41.0,8.0,88.439,17.698,38.222,32.519,308.0,HARD
VER,42.0,8.0,88.113,17.576,38.066,32.471,311.0,HARD
VER,43.0,7.0,88.089,17.685,37.847,32.557,333.0,HARD
VER,44.0,7.0,88.501,17.655,38.235,32.611,310.0,HARD
VER,45.0,6.0,88.067,17.648,37.861,32.558,333.0,HARD
VER,46.0,6.0,88.231,17.595,38.288,32.348,307.0,HARD
VER,47.0,6.0,88.304,17.635,38.232,32.437,308.0,HARD
VER,48.0,6.0,87.893,17.65,38.031,32.212,310.0,HARD
VER,49.0,6.0,87.927,17.56,38.215,32.152,307.0,HARD
VER,50.0,6.0,87.961,17.569,38.245,32.147,307.0,HARD
VER,51.0,6.0,87.82,17.543,38.151,32.126,307.0,HARD
VER,52.0,6.0,88.047,17.592,38.194,32.261,305.0,HARD
VER,53.0,6.0,88.064,17.553,38.239,32.272,312.0,HARD
VER,54.0,6.0,88.352,17.701,38.164,32.487,312.0,HARD
VER,55.0,6.0,87.821,17.648,37.893,32.28,310.0,HARD
VER,56.0,6.0,87.765,17.571,38.063,32.131,312.0,HARD
VER,57.0,6.0,88.174,17.565,38.204,32.405,310.0,HARD
VER,58.0,6.0,88.78,17.676,38.262,32.842,310.0,HARD
GAS,1.0,4.0,93.984,,38.658,33.126,306.0,MEDIUM
GAS,2.0,3.0,109.76,18.158,46.804,44.798,302.0,MEDIUM
GAS,3.0,3.0,102.837,25.771,44.128,32.938,298.0,MEDIUM
GAS,4.0,3.0,89.406,17.935,37.997,33.474,322.0,MEDIUM
GAS,5.0,3.0,89.611,18.105,38.555,32.951,303.0,MEDIUM
GAS,6.0,3.0,90.014,18.14,38.62,33.254,300.0,MEDIUM
GAS,7.0,3.0,89.744,17.897,38.596,33.251,301.0,MEDIUM
GAS,8.0,3.0,89.732,17.965,38.532,33.235,299.0,MEDIUM
GAS,9.0,3.0,89.631,17.895,38.687,33.049,298.0,MEDIUM
GAS,10.0,3.0,90.127,17.962,38.86,33.305,296.0,MEDIUM
GAS,11.0,3.0,90.072,17.994,38.891,33.187,301.0,MEDIUM
GAS,12.0,3.0,90.174,18.084,38.888,33.202,299.0,MEDIUM
GAS,13.0,3.0,90.173,17.951999999999998,38.891,33.33,300.0,MEDIUM
GAS,14.0,4.0,92.241,17.987,38.923,35.331,300.0,MEDIUM
GAS,15.0,9.0,109.784,38.392,38.503,32.889,318.0,HARD
GAS,16.0,9.0,89.927,17.901,37.866,34.16,302.0,HARD
GAS,17.0,8.0,89.986,18.007,38.58,33.399,321.0,HARD
GAS,18.0,8.0,90.123,18.064,38.864,33.195,299.0,HARD
GAS,19.0,8.0,89.567,17.923000000000002,38.762,32.882,299.0,HARD
GAS,20.0,8.0,89.562,17.865,38.713,32.984,299.0,HARD
GAS,21.0,7.0,89.725,17.977,38.798,32.95,300.0,HARD
GAS,22.0,7.0,90.627,17.924,38.478,34.225,319.0,HARD
GAS,23.0,6.0,90.137,18.073,38.864,33.2,314.0,HARD
GAS,24.0,7.0,91.144,18.031,39.297,33.816,296.0,HARD
GAS,25.0,7.0,89.75,17.98,38.725,33.045,300.0,HARD
GAS,26.0,7.0,89.688,17.877,38.739,33.072,299.0,HARD
GAS,27.0,7.0,90.381,17.887,38.677,33.817,300.0,HARD
GAS,28.0,7.0,89.596,17.877,38.742,32.977,299.0,HARD
GAS,29.0,7.0,89.409,17.81,38.715,32.884,300.0,HARD
GAS,30.0,6.0,89.251,17.799,38.664,32.788,300.0,HARD
GAS,31.0,6.0,89.563,17.866,38.72,32.977,299.0,HARD
GAS,32.0,6.0,89.647,17.904,38.683,33.06,299.0,HARD
GAS,33.0,6.0,89.516,17.91,38.776,32.83,298.0,HARD
GAS,34.0,6.0,89.431,17.916,38.682,32.833,299.0,HARD
GAS,35.0,5.0,89.5,17.884,38.769,32.847,299.0,HARD
GAS,36.0,5.0,89.321,17.856,38.689,32.776,298.0,HARD
GAS,37.0,5.0,89.212,17.899,38.615,32.698,298.0,HARD
GAS,38.0,5.0,89.506,17.784,38.786,32.936,299.0,HARD
GAS,39.0,5.0,89.321,17.92,38.519,32.882,299.0,HARD
GAS,40.0,5.0,89.372,17.848,38.637,32.887,300.0,HARD
GAS,41.0,5.0,89.504,17.88,38.771,32.853,300.0,HARD
GAS,42.0,6.0,89.998,17.873,38.828,33.297,300.0,HARD
GAS,43.0,6.0,89.453,17.818,38.745,32.89,301.0,HARD
GAS,44.0,6.0,89.379,17.797,38.729,32.853,300.0,HARD
GAS,45.0,7.0,90.401,17.868,38.755,33.778,301.0,HARD
GAS,46.0,7.0,89.65,17.883,38.668,33.099,304.0,HARD
GAS,47.0,7.0,89.523,17.995,38.663,32.865,302.0,HARD
GAS,48.0,7.0,89.434,17.936,38.645,32.853,303.0,HARD
GAS,49.0,7.0,89.493,17.998,38.58,32.915,303.0,HARD
GAS,50.0,7.0,89.606,17.842,38.716,33.048,303.0,HARD
GAS,51.0,7.0,89.571,17.875,38.745,32.951,302.0,HARD
GAS,52.0,7.0,89.65,17.921,38.757,32.972,302.0,HARD
GAS,53.0,7.0,89.676,17.922,38.844,32.91,302.0,HARD
GAS,54.0,7.0,89.447,17.927,38.673,32.847,301.0,HARD
GAS,55.0,7.0,90.172,17.997,38.961,33.214,300.0,HARD
GAS,56.0,7.0,89.541,17.954,38.546,33.041,304.0,HARD
GAS,57.0,7.0,89.936,17.951,38.773,33.212,305.0,HARD
GAS,58.0,7.0,90.865,17.995,38.878,33.992,302.0,HARD
PER,1.0,2.0,,,,,,MEDIUM
ALO,1.0,7.0,96.166,,39.033,33.904,291.0,MEDIUM
ALO,2.0,6.0,110.156,18.092,49.898,42.166,299.0,MEDIUM
ALO,3.0,6.0,102.24,25.205,43.666,33.369,247.0,MEDIUM
ALO,4.0,6.0,89.434,18.033,37.944,33.457,332.0,MEDIUM
ALO,5.0,6.0,90.084,18.133,38.142,33.809,318.0,MEDIUM
ALO,6.0,6.0,89.829,18.04,38.164,33.625,323.0,MEDIUM
ALO,7.0,6.0,89.785,18.073,38.18,33.532,319.0,MEDIUM
ALO,8.0,6.0,90.032,17.995,38.276,33.761,322.0,MEDIUM
ALO,9.0,6.0,90.085,18.045,38.451,33.589,321.0,MEDIUM
