Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,2.0,101.657,,40.291,33.295,312.0,MEDIUM
VER,2.0,2.0,99.991,26.845,39.996,33.15,306.0,MEDIUM
VER,3.0,2.0,122.849,26.98,46.144,49.725,183.0,MEDIUM
VER,4.0,2.0,,40.222,58.115,53.159,205.0,MEDIUM
VER,5.0,2.0,,40.279,61.864,65.48,130.0,MEDIUM
VER,6.0,2.0,99.779,27.069,39.822,32.888,302.0,MEDIUM
VER,7.0,2.0,99.731,26.838,39.793,33.1,305.0,MEDIUM
VER,8.0,2.0,100.082,26.809,39.973,33.3,306.0,MEDIUM
VER,9.0,2.0,100.032,26.901,39.932,33.199,308.0,MEDIUM
VER,10.0,2.0,99.97,26.919,39.916,33.135,309.0,MEDIUM
VER,11.0,2.0,100.246,26.971,40.034,33.241,305.0,MEDIUM
VER,12.0,2.0,100.182,26.876,40.067,33.239,304.0,MEDIUM
VER,13.0,2.0,99.936,26.778,39.941,33.217,304.0,MEDIUM
VER,14.0,2.0,99.846,26.852,40.132,32.862,304.0,MEDIUM
VER,15.0,2.0,100.192,26.866,40.207,33.119,304.0,MEDIUM
VER,16.0,2.0,100.033,26.828,40.121,33.084,304.0,MEDIUM
VER,17.0,2.0,100.16,26.898,40.213,33.049,306.0,MEDIUM
VER,18.0,2.0,99.921,26.852,40.158,32.911,306.0,MEDIUM
VER,19.0,2.0,99.981,26.887,40.169,32.925,304.0,MEDIUM
VER,20.0,2.0,99.986,26.727,40.105,33.154,307.0,MEDIUM
VER,21.0,2.0,99.803,26.783,39.936,33.084,307.0,MEDIUM
VER,22.0,2.0,100.099,26.679,40.16,33.26,310.0,MEDIUM
VER,23.0,2.0,100.42,26.817,40.4,33.203,306.0,MEDIUM
VER,24.0,2.0,100.318,26.799,40.279,33.24,304.0,MEDIUM
VER,25.0,2.0,100.718,26.82,40.18,33.718,307.0,MEDIUM
VER,26.0,5.0,119.619,47.267,39.643,32.709,306.0,HARD
VER,27.0,5.0,99.046,26.823,39.567,32.656,308.0,HARD
VER,28.0,5.0,98.784,26.643,39.536,32.605,309.0,HARD
VER,29.0,5.0,99.067,26.615,39.745,32.707,304.0,HARD
VER,30.0,5.0,98.75,26.513,39.487,32.75,305.0,HARD
VER,31.0,5.0,99.058,26.553,39.801,32.704,307.0,HARD
VER,32.0,4.0,99.106,26.539,39.772,32.795,307.0,HARD
VER,33.0,3.0,98.827,26.479,39.75,32.598,308.0,HARD
VER,34.0,3.0,99.063,26.612,39.814,32.637,307.0,HARD
VER,35.0,3.0,99.004,26.464,39.878,32.662,306.0,HARD
VER,36.0,3.0,98.715,26.424,39.583,32.708,305.0,HARD
VER,37.0,3.0,98.963,26.457,39.726,32.78,304.0,HARD
VER,38.0,3.0,98.641,26.445,39.58,32.616,306.0,HARD
VER,39.0,3.0,98.358,26.446,39.359,32.553,311.0,HARD
VER,40.0,3.0,98.624,26.397,39.556,32.671,309.0,HARD
VER,41.0,3.0,98.463,26.487,39.487,32.489,311.0,HARD
VER,42.0,3.0,98.117,26.234,39.472,32.411,311.0,HARD
VER,43.0,3.0,98.526,26.226,39.737,32.563,308.0,HARD
VER,44.0,3.0,98.453,26.351,39.641,32.461,304.0,HARD
VER,45.0,3.0,98.269,26.288,39.451,32.53,310.0,HARD
VER,46.0,3.0,98.255,26.373,39.529,32.353,307.0,HARD
VER,47.0,3.0,99.191,26.584,39.713,32.894,311.0,HARD
VER,48.0,3.0,98.572,26.297,39.69,32.585,304.0,HARD
VER,49.0,3.0,98.598,26.45,39.572,32.576,307.0,HARD
VER,50.0,3.0,98.692,26.364,39.769,32.559,301.0,HARD
VER,51.0,3.0,99.105,26.325,39.912,32.868,306.0,HARD
VER,52.0,4.0,100.819,26.468,40.574,33.777,308.0,HARD
VER,53.0,4.0,99.384,27.023,39.838,32.523,311.0,HARD
VER,54.0,4.0,98.661,26.251,39.826,32.584,307.0,HARD
VER,55.0,4.0,98.252,26.186,39.633,32.433,312.0,HARD
VER,56.0,4.0,99.018,26.053,39.898,33.067,309.0,HARD
