Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,1.0,87.458,,18.462,35.518,238.0,MEDIUM
VER,2.0,2.0,84.099,29.623,18.375,36.101,281.0,MEDIUM
VER,3.0,2.0,83.115,28.793,18.573,35.749,305.0,MEDIUM
VER,4.0,19.0,,28.756,18.353,,302.0,MEDIUM
GAS,1.0,17.0,97.304,,18.854,38.564,223.0,MEDIUM
GAS,2.0,17.0,84.649,29.905,18.241,36.503,287.0,MEDIUM
GAS,3.0,17.0,83.851,29.379,18.148,36.324,292.0,MEDIUM
GAS,4.0,16.0,83.7,29.05,18.116,36.534,305.0,MEDIUM
GAS,5.0,16.0,84.526,29.693,17.983,36.85,,MEDIUM
GAS,6.0,15.0,83.912,29.368,18.107,36.437,308.0,MEDIUM
GAS,7.0,13.0,83.445,29.068,18.122,36.255,310.0,MEDIUM
GAS,8.0,10.0,83.879,29.38,18.109,36.39,297.0,MEDIUM
GAS,9.0,8.0,83.829,29.349,18.235,36.245,303.0,MEDIUM
GAS,10.0,6.0,83.856,29.318,18.15,36.388,298.0,MEDIUM
GAS,11.0,8.0,85.397,29.402,18.252,37.743,301.0,MEDIUM
GAS,12.0,8.0,84.625,29.816,18.154,36.655,306.0,MEDIUM
GAS,13.0,8.0,84.049,29.379,18.093,36.577,,MEDIUM
GAS,14.0,8.0,84.104,29.43,18.09,36.584,302.0,MEDIUM
GAS,15.0,7.0,84.1,29.378,18.207,36.515,305.0,MEDIUM
GAS,16.0,8.0,85.367,29.942,18.256,37.169,306.0,MEDIUM
GAS,17.0,14.0,117.788,30.269,25.888,61.631,295.0,MEDIUM
GAS,18.0,15.0,89.888,35.202,18.398,36.288,227.0,HARD
GAS,19.0,15.0,83.922,29.141,18.401,36.38,291.0,HARD
GAS,20.0,15.0,83.662,29.06,18.369,36.233,292.0,HARD
GAS,21.0,15.0,83.241,28.904,18.274,36.063,293.0,HARD
GAS,22.0,15.0,83.045,28.793,18.236,36.016,292.0,HARD
GAS,23.0,15.0,82.929,28.898,18.198,35.833,,HARD
GAS,24.0,15.0,83.001,28.729,18.222,36.05,294.0,HARD
GAS,25.0,15.0,82.933,28.803,18.241,35.889,,HARD
GAS,26.0,15.0,83.015,28.851,18.346,35.818,295.0,HARD
GAS,27.0,14.0,82.904,28.749,18.186,35.969,294.0,HARD
GAS,28.0,14.0,82.674,28.974,17.953,35.747,295.0,HARD
GAS,29.0,13.0,82.708,28.988,17.968,35.752,308.0,HARD
GAS,30.0,13.0,82.99,28.857,17.993,36.14,307.0,HARD
GAS,31.0,13.0,82.727,28.855,17.99,35.882,304.0,HARD
GAS,32.0,13.0,83.245,28.996,18.019,36.23,308.0,HARD
GAS,33.0,12.0,83.215,28.788,17.98,36.447,309.0,HARD
GAS,34.0,12.0,83.036,28.986,18.083,35.967,307.0,HARD
GAS,35.0,10.0,83.225,28.898,17.957,36.37,309.0,HARD
GAS,36.0,10.0,82.84,28.631,18.346,35.863,305.0,HARD
GAS,37.0,9.0,83.326,28.965,18.388,35.973,288.0,HARD
