Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
RUS,1.0,3.0,74.401,,32.359,21.359,296.0,MEDIUM
RUS,2.0,3.0,70.58,17.469,31.731,21.38,298.0,MEDIUM
RUS,3.0,3.0,70.441,17.801,31.483,21.157,308.0,MEDIUM
RUS,4.0,3.0,70.467,17.555,31.631,21.281,289.0,MEDIUM
RUS,5.0,3.0,70.193,17.61,31.332,21.251,294.0,MEDIUM
RUS,6.0,3.0,71.033,17.616,31.962,21.455,285.0,MEDIUM
RUS,7.0,3.0,70.682,17.624,31.646,21.412,294.0,MEDIUM
RUS,8.0,3.0,70.655,17.696,31.695,21.264,290.0,MEDIUM
RUS,9.0,3.0,70.628,17.626,31.611,21.391,293.0,MEDIUM
RUS,10.0,3.0,71.263,17.717,32.021,21.525,291.0,MEDIUM
RUS,11.0,3.0,71.281,17.754,32.018,21.509,288.0,MEDIUM
RUS,12.0,3.0,71.135,17.76,31.876,21.499,294.0,MEDIUM
RUS,13.0,3.0,71.321,17.788,32.033,21.5,295.0,MEDIUM
RUS,14.0,3.0,71.44,17.797,32.072,21.571,292.0,MEDIUM
RUS,15.0,3.0,71.471,17.784,32.044,21.643,292.0,MEDIUM
RUS,16.0,3.0,71.382,17.831,31.915,21.636,292.0,MEDIUM
RUS,17.0,3.0,71.459,17.824,31.93,21.705,295.0,MEDIUM
RUS,18.0,3.0,71.297,17.786,32.03,21.481,296.0,MEDIUM
RUS,19.0,3.0,71.569,17.794,32.113,21.662,290.0,MEDIUM
RUS,20.0,3.0,71.531,17.854,32.068,21.609,293.0,MEDIUM
RUS,21.0,3.0,71.641,17.904,32.147,21.59,295.0,MEDIUM
RUS,22.0,3.0,75.077,17.891,32.111,25.075,294.0,MEDIUM
RUS,23.0,4.0,86.769,34.824,31.03,20.915,291.0,MEDIUM
RUS,24.0,4.0,69.563,17.446,31.068,21.049,293.0,MEDIUM
RUS,25.0,4.0,69.792,17.439,31.325,21.028,292.0,MEDIUM
RUS,26.0,3.0,70.037,17.439,31.487,21.111,288.0,MEDIUM
RUS,27.0,3.0,69.864,17.471,31.355,21.038,292.0,MEDIUM
RUS,28.0,3.0,70.085,17.595,31.509,20.981,291.0,MEDIUM
RUS,29.0,3.0,70.157,17.655,31.468,21.034,292.0,MEDIUM
RUS,30.0,3.0,70.18,17.608,31.483,21.089,295.0,MEDIUM
RUS,31.0,3.0,69.936,17.553,31.435,20.948,297.0,MEDIUM
RUS,32.0,3.0,70.219,17.634,31.544,21.041,297.0,MEDIUM
RUS,33.0,3.0,70.093,17.548000000000002,31.446,21.099,301.0,MEDIUM
RUS,34.0,3.0,70.26,17.611,31.524,21.125,295.0,MEDIUM
RUS,35.0,3.0,70.524,17.663,31.673000000000002,21.188,305.0,MEDIUM
RUS,36.0,3.0,70.598,17.64,31.72,21.238,305.0,MEDIUM
RUS,37.0,3.0,70.506,17.538,31.715,21.253,298.0,MEDIUM
RUS,38.0,3.0,70.64,17.644,31.805,21.191,299.0,MEDIUM
RUS,39.0,3.0,70.724,17.624,31.906,21.194,298.0,MEDIUM
RUS,40.0,3.0,70.761,17.675,31.741,21.345,298.0,MEDIUM
RUS,41.0,3.0,71.167,17.743,31.973,21.451,302.0,MEDIUM
RUS,42.0,3.0,70.797,17.688,31.829,21.28,304.0,MEDIUM
RUS,43.0,3.0,70.784,17.643,31.841,21.3,302.0,MEDIUM
RUS,44.0,3.0,71.385,17.749,32.086,21.55,299.0,MEDIUM
