Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,5.0,115.49,,44.61,25.791,319.0,MEDIUM
VER,2.0,5.0,109.632,39.449,44.481,25.701999999999998,319.0,MEDIUM
VER,3.0,5.0,109.13,39.118,44.415,25.597,321.0,MEDIUM
VER,4.0,5.0,109.608,39.046,44.387,26.175,321.0,MEDIUM
VER,5.0,5.0,109.245,39.312,44.211,25.722,320.0,MEDIUM
VER,6.0,5.0,108.795,38.883,44.254,25.658,318.0,MEDIUM
VER,7.0,5.0,108.797,38.936,44.131,25.73,319.0,MEDIUM
VER,8.0,5.0,108.643,38.88,44.103,25.66,318.0,MEDIUM
VER,9.0,5.0,108.448,38.68,44.085,25.683,318.0,MEDIUM
VER,10.0,5.0,109.448,38.989,44.635,25.824,317.0,MEDIUM
VER,11.0,5.0,109.645,39.235,44.447,25.963,318.0,MEDIUM
VER,12.0,5.0,114.511,39.506,45.125,29.88,315.0,MEDIUM
VER,13.0,9.0,126.486,56.262,44.841,25.383,326.0,HARD
VER,14.0,8.0,108.269,38.439,44.264,25.566,322.0,HARD
VER,15.0,7.0,107.812,38.535,43.701,25.576,322.0,HARD
VER,16.0,7.0,108.132,38.592,43.793,25.747,315.0,HARD
VER,17.0,7.0,107.718,38.533,43.611,25.574,319.0,HARD
VER,18.0,7.0,108.461,38.92,43.974,25.567,321.0,HARD
VER,19.0,7.0,107.89,38.71,43.742,25.438,322.0,HARD
VER,20.0,7.0,107.89,38.65,44.008,25.232,321.0,HARD
VER,21.0,7.0,107.903,38.58,44.121,25.202,323.0,HARD
VER,22.0,7.0,108.679,39.023,44.433,25.223,322.0,HARD
VER,23.0,7.0,108.908,39.175,44.61,25.123,325.0,HARD
VER,24.0,7.0,110.602,40.346,44.783,25.473,324.0,HARD
VER,25.0,7.0,108.356,38.932,44.318,25.106,325.0,HARD
VER,26.0,7.0,109.021,39.163,44.733,25.125,324.0,HARD
VER,27.0,7.0,109.092,39.332,44.582,25.178,324.0,HARD
VER,28.0,7.0,109.185,39.336,44.522,25.327,323.0,HARD
VER,29.0,7.0,109.216,39.482,44.549,25.185,325.0,HARD
VER,30.0,7.0,108.994,39.138,44.589,25.267,323.0,HARD
VER,31.0,6.0,108.846,39.206,44.402,25.238,323.0,HARD
VER,32.0,6.0,108.392,38.791,44.051,25.55,319.0,HARD
VER,33.0,6.0,108.299,38.764,43.976,25.559,319.0,HARD
VER,34.0,7.0,109.244,39.47,44.23,25.544,321.0,HARD
VER,35.0,7.0,107.996,38.642,43.702,25.652,321.0,HARD
VER,36.0,7.0,107.718,38.472,43.773,25.473,320.0,HARD
VER,37.0,7.0,107.403,38.487,43.485,25.431,322.0,HARD
VER,38.0,6.0,107.282,38.442,43.436,25.404,321.0,HARD
VER,39.0,6.0,107.34,38.343,43.549,25.448,320.0,HARD
VER,40.0,6.0,107.136,38.192,43.437,25.507,319.0,HARD
VER,41.0,6.0,107.525,38.476,43.592,25.457,321.0,HARD
VER,42.0,6.0,106.798,38.142,43.271,25.385,320.0,HARD
VER,43.0,6.0,107.147,38.239,43.313,25.595,321.0,HARD
VER,44.0,6.0,107.149,38.154,43.326,25.669,320.0,HARD
VER,45.0,6.0,107.184,38.208,43.484,25.492,320.0,HARD
VER,46.0,6.0,107.135,38.041,43.596,25.498,319.0,HARD
VER,47.0,6.0,107.721,38.226,43.853,25.642,319.0,HARD
VER,48.0,6.0,107.749,38.378,43.748,25.623,319.0,HARD
VER,49.0,7.0,112.022,38.91,43.752,29.36,321.0,HARD
VER,50.0,5.0,,63.63,56.483,37.564,186.0,SOFT
VER,51.0,5.0,,56.09,58.058,39.188,200.0,SOFT
GAS,1.0,15.0,124.448,,48.618,25.248,331.0,HARD
GAS,2.0,15.0,112.861,42.078,45.563,25.22,325.0,HARD
GAS,3.0,15.0,111.565,40.547,45.762,25.256,326.0,HARD
GAS,4.0,14.0,109.849,39.792,44.566,25.491,324.0,HARD
GAS,5.0,14.0,110.116,39.781,44.805,25.53,323.0,HARD
GAS,6.0,14.0,110.071,39.798,44.674,25.599,320.0,HARD
GAS,7.0,14.0,109.908,39.621,44.6,25.687,320.0,HARD
GAS,8.0,14.0,109.707,39.608,44.464,25.635,321.0,HARD
GAS,9.0,14.0,109.776,39.443,44.763,25.57,320.0,HARD
GAS,10.0,14.0,109.479,39.323,44.553,25.603,322.0,HARD
GAS,11.0,13.0,110.305,39.684,44.951,25.67,320.0,HARD
GAS,12.0,12.0,110.207,39.574,44.756,25.877,322.0,HARD
GAS,13.0,11.0,110.586,40.3,44.86,25.426,323.0,HARD
GAS,14.0,9.0,110.56,39.892,45.288,25.38,324.0,HARD
GAS,15.0,10.0,111.674,40.893,44.805,25.976,318.0,HARD
GAS,16.0,10.0,110.412,39.54,44.961,25.911,316.0,HARD
GAS,17.0,10.0,110.314,39.888,44.795,25.631,321.0,HARD
GAS,18.0,10.0,109.879,39.565,44.545,25.769,319.0,HARD
GAS,19.0,11.0,109.647,39.423,44.521,25.703,318.0,HARD
GAS,20.0,11.0,110.731,40.046,44.909,25.776,319.0,HARD
GAS,21.0,11.0,110.09,39.382,44.905,25.803,319.0,HARD
GAS,22.0,11.0,110.329,39.557,44.98,25.792,317.0,HARD
GAS,23.0,11.0,109.639,39.232,44.687,25.72,317.0,HARD
GAS,24.0,11.0,109.699,39.514,44.314,25.871,318.0,HARD
GAS,25.0,12.0,109.69,39.27,44.433,25.987,316.0,HARD
GAS,26.0,12.0,110.054,39.86,44.554,25.64,318.0,HARD
GAS,27.0,12.0,109.311,39.225,44.366,25.72,320.0,HARD
GAS,28.0,12.0,109.294,39.072,44.404,25.818,320.0,HARD
GAS,29.0,12.0,108.98,39.009,44.367,25.604,319.0,HARD
GAS,30.0,14.0,111.275,40.616,44.758,25.901,320.0,HARD
GAS,31.0,14.0,109.319,39.211,44.399,25.709,319.0,HARD
GAS,32.0,14.0,109.223,39.053,44.567,25.603,319.0,HARD
GAS,33.0,14.0,108.774,38.777,44.372,25.625,319.0,HARD
GAS,34.0,14.0,108.737,38.922,44.185,25.63,319.0,HARD
GAS,35.0,14.0,108.832,38.928,44.103,25.801,320.0,HARD
GAS,36.0,14.0,108.95,38.932,44.373,25.645,320.0,HARD
GAS,37.0,14.0,108.778,38.749,44.322,25.707,319.0,HARD
GAS,38.0,14.0,108.916,38.935,44.229,25.752,319.0,HARD
GAS,39.0,14.0,108.738,38.793,44.285,25.66,320.0,HARD
GAS,40.0,14.0,108.503,38.785,44.085,25.633,320.0,HARD
