Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,1.0,97.284,,41.266,23.616,251.0,SOFT
VER,2.0,1.0,96.296,30.916,41.661,23.719,287.0,SOFT
VER,3.0,1.0,96.753,30.999,41.966,23.788,290.0,SOFT
VER,4.0,1.0,96.647,30.931,41.892,23.824,,SOFT
VER,5.0,1.0,97.173,31.255,42.056,23.862,289.0,SOFT
VER,6.0,1.0,97.092,31.041,42.187,23.864,296.0,SOFT
VER,7.0,1.0,97.038,31.015,42.118,23.905,291.0,SOFT
VER,8.0,1.0,97.024,31.041,42.077,23.906,,SOFT
VER,9.0,1.0,97.229,31.1,42.166,23.963,292.0,SOFT
VER,10.0,1.0,96.96,30.986,42.009,23.965,293.0,SOFT
VER,11.0,1.0,97.085,30.974,42.142,23.969,292.0,SOFT
VER,12.0,1.0,97.045,30.966,42.091,23.988,,SOFT
VER,13.0,1.0,97.03,30.964,42.055,24.011,,SOFT
VER,14.0,1.0,97.028,30.938,42.042,24.048,293.0,SOFT
VER,15.0,1.0,97.011,30.887,42.058,24.066,,SOFT
VER,16.0,1.0,97.168,31.048,42.032,24.088,292.0,SOFT
VER,17.0,1.0,99.896,31.006,42.06,26.83,293.0,SOFT
VER,18.0,1.0,117.854,52.815,41.511,23.528,212.0,HARD
VER,19.0,1.0,95.283,30.628,41.162,23.493,288.0,HARD
VER,20.0,1.0,95.16,30.585,41.1,23.475,291.0,HARD
VER,21.0,1.0,95.316,30.576,41.24,23.5,293.0,HARD
VER,22.0,1.0,95.204,30.56,41.142,23.502,294.0,HARD
VER,23.0,1.0,95.216,30.553,41.145,23.518,,HARD
VER,24.0,1.0,95.289,30.548000000000002,41.257,23.484,,HARD
VER,25.0,1.0,95.342,30.518,41.282,23.542,295.0,HARD
VER,26.0,1.0,95.223,30.522,41.14,23.561,,HARD
VER,27.0,1.0,95.581,30.649,41.338,23.594,294.0,HARD
VER,28.0,1.0,95.477,30.588,41.272,23.617,293.0,HARD
VER,29.0,1.0,95.793,30.679,41.485,23.629,,HARD
VER,30.0,1.0,95.771,30.657,41.47,23.644,294.0,HARD
VER,31.0,1.0,95.679,30.635,41.435,23.609,295.0,HARD
VER,32.0,1.0,95.886,30.669,41.519,23.698,296.0,HARD
VER,33.0,1.0,95.863,30.69,41.459,23.714,295.0,HARD
VER,34.0,1.0,96.133,30.685,41.661,23.787,296.0,HARD
VER,35.0,1.0,96.018,30.727,41.557,23.734,295.0,HARD
VER,36.0,1.0,96.205,30.794,41.561,23.85,297.0,HARD
VER,37.0,1.0,99.234,30.877,41.634,26.723,,HARD
VER,38.0,1.0,116.445,51.526,41.562,23.357,217.0,SOFT
VER,39.0,1.0,92.608,29.741,39.916,22.951,299.0,SOFT
