Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
HAM,1.0,2.0,112.7,,49.406,29.478,309.0,MEDIUM
HAM,2.0,2.0,109.849,31.284,49.211,29.354,307.0,MEDIUM
HAM,3.0,1.0,109.109,31.215,48.486,29.408,310.0,MEDIUM
HAM,4.0,1.0,109.808,31.754,48.605,29.449,305.0,MEDIUM
HAM,5.0,1.0,109.376,31.592,48.32,29.464,307.0,MEDIUM
HAM,6.0,1.0,109.4,31.618,48.355,29.427,,MEDIUM
HAM,7.0,1.0,109.357,31.662,48.124,29.571,306.0,MEDIUM
HAM,8.0,1.0,109.666,31.646,48.515,29.505,,MEDIUM
HAM,9.0,1.0,109.704,31.616,48.572,29.516,307.0,MEDIUM
HAM,10.0,1.0,109.951,31.625,48.752,29.574,,MEDIUM
HAM,11.0,2.0,114.328,31.618,48.726,33.984,306.0,MEDIUM
HAM,12.0,5.0,124.792,46.008,49.504,29.28,309.0,HARD
HAM,13.0,3.0,108.204,31.262,47.833,29.109,310.0,HARD
HAM,14.0,3.0,108.124,31.323,47.55,29.251,309.0,HARD
HAM,15.0,3.0,108.15,31.38,47.556,29.214,,HARD
HAM,16.0,2.0,107.973,31.381,47.444,29.148,,HARD
HAM,17.0,2.0,107.957,31.418,47.512,29.027,308.0,HARD
HAM,18.0,2.0,107.91,31.287,47.481,29.142,309.0,HARD
HAM,19.0,2.0,108.04,31.36,47.575,29.105,310.0,HARD
HAM,20.0,1.0,108.237,31.378,47.684,29.175,309.0,HARD
HAM,21.0,1.0,108.396,31.497,47.602,29.297,306.0,HARD
HAM,22.0,1.0,108.368,31.443,47.622,29.303,307.0,HARD
HAM,23.0,1.0,108.338,31.486,47.58,29.272,,HARD
HAM,24.0,1.0,108.028,31.366,47.535,29.127,308.0,HARD
HAM,25.0,1.0,107.845,31.415,47.395,29.035,,HARD
HAM,26.0,1.0,112.047,31.359,47.199,33.489,309.0,HARD
HAM,27.0,6.0,121.3,45.393,46.984,28.923000000000002,310.0,HARD
HAM,28.0,5.0,107.396,30.835,47.762,28.799,313.0,HARD
HAM,29.0,4.0,107.429,31.059,47.387,28.983,310.0,HARD
HAM,30.0,3.0,107.031,31.176,46.961,28.894,,HARD
HAM,31.0,2.0,107.182,31.181,47.047,28.954,,HARD
HAM,32.0,2.0,107.003,31.156,46.903,28.944,311.0,HARD
HAM,33.0,2.0,106.653,31.053,46.607,28.993,,HARD
HAM,34.0,2.0,106.856,30.993,46.933,28.93,312.0,HARD
HAM,35.0,2.0,106.729,31.062,46.667,29.0,313.0,HARD
HAM,36.0,2.0,106.931,30.984,46.986,28.961,312.0,HARD
HAM,37.0,2.0,107.042,30.997,46.996,29.049,,HARD
HAM,38.0,2.0,106.747,30.939,46.849,28.959,313.0,HARD
HAM,39.0,2.0,107.054,30.962,47.145,28.947,315.0,HARD
HAM,40.0,2.0,107.125,30.948,47.225,28.951999999999998,,HARD
HAM,41.0,2.0,107.622,30.715,47.811,29.096,,HARD
HAM,42.0,2.0,107.387,30.637,47.833,28.917,317.0,HARD
HAM,43.0,2.0,107.388,30.872,47.61,28.906,315.0,HARD
HAM,44.0,2.0,107.034,30.734,47.38,28.92,316.0,HARD
PIA,1.0,4.0,114.248,,50.48,29.643,302.0,MEDIUM
PIA,2.0,4.0,110.164,31.056,49.48,29.628,313.0,MEDIUM
PIA,3.0,4.0,109.971,30.988,49.611,29.372,,MEDIUM
PIA,4.0,4.0,109.847,30.979,49.556,29.312,314.0,MEDIUM
PIA,5.0,4.0,110.085,30.86,49.788,29.437,316.0,MEDIUM
PIA,6.0,4.0,109.963,30.986,49.68,29.297,,MEDIUM
PIA,7.0,4.0,110.03,30.926,49.646,29.458,315.0,MEDIUM
PIA,8.0,4.0,110.062,31.302,49.339,29.421,314.0,MEDIUM
PIA,9.0,4.0,110.481,31.338,49.752,29.391,315.0,MEDIUM
PIA,10.0,4.0,110.045,31.234,49.389,29.422,314.0,MEDIUM
PIA,11.0,6.0,114.271,31.21,49.435,33.626,315.0,MEDIUM
PIA,12.0,7.0,123.103,44.535,49.179,29.389,318.0,HARD
PIA,13.0,5.0,107.565,30.566,48.099,28.9,,HARD
PIA,14.0,5.0,108.239,31.012,48.247,28.98,316.0,HARD
PIA,15.0,5.0,108.07,31.011,48.059,29.0,,HARD
PIA,16.0,4.0,108.355,31.048,48.215,29.092,,HARD
PIA,17.0,4.0,108.473,31.172,48.287,29.014,314.0,HARD
