Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,12.0,99.161,,49.176,18.794,189.0,INTERMEDIATE
VER,2.0,10.0,87.134,21.981,46.412,18.741,248.0,INTERMEDIATE
VER,3.0,10.0,86.24,21.716,45.98,18.544,245.0,INTERMEDIATE
VER,4.0,10.0,86.702,22.151,46.15,18.401,229.0,INTERMEDIATE
VER,5.0,9.0,85.394,21.773,45.18,18.441,256.0,INTERMEDIATE
VER,6.0,8.0,84.311,21.513,44.507,18.291,258.0,INTERMEDIATE
VER,7.0,8.0,84.342,21.324,44.661,18.357,248.0,INTERMEDIATE
VER,8.0,8.0,84.657,21.307,44.926,18.424,257.0,INTERMEDIATE
VER,9.0,8.0,84.778,21.402,45.08,18.296,261.0,INTERMEDIATE
VER,10.0,7.0,84.015,21.208,44.455,18.352,282.0,INTERMEDIATE
VER,11.0,6.0,84.156,21.31,44.612,18.234,266.0,INTERMEDIATE
VER,12.0,6.0,83.43,21.074,44.159,18.197,264.0,INTERMEDIATE
VER,13.0,6.0,84.512,21.427,44.654,18.431,272.0,INTERMEDIATE
VER,14.0,6.0,84.791,21.468,45.052,18.271,265.0,INTERMEDIATE
VER,15.0,6.0,84.669,21.62,44.775,18.274,252.0,INTERMEDIATE
VER,16.0,6.0,85.131,21.616,45.371,18.144,248.0,INTERMEDIATE
VER,17.0,6.0,84.328,21.517,44.642,18.169,260.0,INTERMEDIATE
VER,18.0,6.0,84.248,21.508,44.62,18.12,258.0,INTERMEDIATE
VER,19.0,6.0,84.493,21.571,44.905,18.017,254.0,INTERMEDIATE
VER,20.0,6.0,83.915,21.355,44.416,18.144,266.0,INTERMEDIATE
VER,21.0,6.0,84.269,22.164,44.189,17.916,258.0,INTERMEDIATE
VER,22.0,6.0,85.055,21.988,44.995,18.072,264.0,INTERMEDIATE
VER,23.0,6.0,84.267,21.588,44.576,18.103,261.0,INTERMEDIATE
VER,24.0,5.0,84.53,21.417,44.885,18.228,259.0,INTERMEDIATE
VER,25.0,5.0,84.156,21.308,44.707,18.141,258.0,INTERMEDIATE
VER,26.0,5.0,85.252,21.485,45.403,18.364,254.0,INTERMEDIATE
VER,27.0,5.0,88.393,21.572,46.974,19.847,262.0,INTERMEDIATE
VER,28.0,4.0,111.717,32.74,55.199,23.778,145.0,INTERMEDIATE
VER,29.0,2.0,105.014,25.007,55.169,24.838,209.0,INTERMEDIATE
VER,30.0,2.0,119.319,30.773,60.949,27.597,202.0,INTERMEDIATE
VER,31.0,2.0,124.967,33.013,60.259,31.695,172.0,INTERMEDIATE
VER,32.0,2.0,,35.92,71.429,51.28,134.0,INTERMEDIATE
VER,33.0,2.0,,,75.809,46.384,,INTERMEDIATE
VER,34.0,2.0,90.36,23.365,47.904,19.091,234.0,INTERMEDIATE
VER,35.0,2.0,88.006,22.826999999999998,46.427,18.752,232.0,INTERMEDIATE
VER,36.0,2.0,86.509,22.475,45.461,18.573,244.0,INTERMEDIATE
VER,37.0,2.0,85.286,22.068,44.748,18.47,246.0,INTERMEDIATE
VER,38.0,2.0,84.391,21.503,44.573,18.315,252.0,INTERMEDIATE
VER,39.0,2.0,85.296,21.426,44.323,19.547,258.0,INTERMEDIATE
VER,40.0,2.0,129.449,30.615,69.546,29.288,158.0,INTERMEDIATE
VER,41.0,2.0,125.095,31.726,66.797,26.572,149.0,INTERMEDIATE
VER,42.0,2.0,142.964,31.912,69.936,41.116,173.0,INTERMEDIATE
VER,43.0,1.0,85.676,22.237,44.92,18.519,253.0,INTERMEDIATE
VER,44.0,1.0,83.884,21.425,44.136,18.323,254.0,INTERMEDIATE
VER,45.0,1.0,82.876,21.17,43.651,18.055,252.0,INTERMEDIATE
VER,46.0,1.0,83.106,21.262,43.735,18.109,254.0,INTERMEDIATE
VER,47.0,1.0,82.453,21.046,43.387,18.02,259.0,INTERMEDIATE
VER,48.0,1.0,82.29,21.139,43.289,17.862,261.0,INTERMEDIATE
VER,49.0,1.0,82.241,20.998,43.309,17.934,271.0,INTERMEDIATE
VER,50.0,1.0,82.043,20.941,43.106,17.996,267.0,INTERMEDIATE
VER,51.0,1.0,82.306,20.991,43.343,17.972,266.0,INTERMEDIATE
VER,52.0,1.0,82.38,20.95,43.261,18.169,277.0,INTERMEDIATE
VER,53.0,1.0,82.251,20.854,43.376,18.021,270.0,INTERMEDIATE
VER,54.0,1.0,82.246,20.969,43.17,18.107,269.0,INTERMEDIATE
VER,55.0,1.0,82.291,20.875,43.342,18.074,273.0,INTERMEDIATE
VER,56.0,1.0,82.005,20.893,43.067,18.045,278.0,INTERMEDIATE
VER,57.0,1.0,81.862,20.884,42.999,17.979,270.0,INTERMEDIATE
VER,58.0,1.0,81.782,20.851,43.016,17.915,273.0,INTERMEDIATE
VER,59.0,1.0,81.551,20.84,42.908,17.803,267.0,INTERMEDIATE
VER,60.0,1.0,81.331,20.665,42.796,17.87,268.0,INTERMEDIATE
VER,61.0,1.0,81.336,20.735,42.716,17.885,273.0,INTERMEDIATE
VER,62.0,1.0,81.069,20.611,42.604,17.854,280.0,INTERMEDIATE
VER,63.0,1.0,81.232,20.693,42.654,17.885,278.0,INTERMEDIATE
VER,64.0,1.0,81.029,20.632,42.559,17.838,280.0,INTERMEDIATE
VER,65.0,1.0,80.99,20.581,42.614,17.795,282.0,INTERMEDIATE
VER,66.0,1.0,81.111,20.787,42.539,17.785,280.0,INTERMEDIATE
VER,67.0,1.0,80.472,20.546,42.236,17.69,274.0,INTERMEDIATE
VER,68.0,1.0,81.554,20.852,42.92,17.782,265.0,INTERMEDIATE
VER,69.0,1.0,81.322,20.643,42.806,17.873,280.0,INTERMEDIATE
GAS,1.0,10.0,98.052,,49.014,18.503,196.0,INTERMEDIATE
GAS,2.0,9.0,87.33,22.143,46.527,18.66,236.0,INTERMEDIATE
