Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,2.0,104.993,,31.826,37.685,298.0,INTERMEDIATE
VER,2.0,2.0,97.672,28.815,31.274,37.583,294.0,INTERMEDIATE
VER,3.0,2.0,96.443,28.62,31.275,36.548,298.0,INTERMEDIATE
VER,4.0,2.0,95.105,28.103,30.649,36.353,298.0,INTERMEDIATE
VER,5.0,2.0,93.859,27.574,30.293,35.992,300.0,INTERMEDIATE
VER,6.0,2.0,92.634,27.04,29.789,35.805,301.0,INTERMEDIATE
VER,7.0,2.0,91.258,26.61,29.509,35.139,302.0,INTERMEDIATE
VER,8.0,2.0,90.766,26.684,29.016,35.066,302.0,INTERMEDIATE
VER,9.0,2.0,90.159,26.391,28.943,34.825,303.0,INTERMEDIATE
VER,10.0,2.0,89.295,26.155,28.544,34.596,302.0,INTERMEDIATE
VER,11.0,2.0,89.7,26.031,29.271,34.398,300.0,INTERMEDIATE
VER,12.0,2.0,88.991,26.076,28.639,34.276,303.0,INTERMEDIATE
VER,13.0,2.0,88.532,25.653,28.773,34.106,302.0,INTERMEDIATE
VER,14.0,2.0,88.527,25.724,28.668,34.135,301.0,INTERMEDIATE
VER,15.0,2.0,88.637,26.102,28.613,33.922,302.0,INTERMEDIATE
VER,16.0,2.0,88.138,25.6,28.325,34.213,303.0,INTERMEDIATE
VER,17.0,2.0,89.256,26.652,28.986,33.618,304.0,INTERMEDIATE
VER,18.0,2.0,86.436,25.166,27.75,33.52,305.0,INTERMEDIATE
VER,19.0,2.0,86.001,24.992,27.583,33.426,305.0,INTERMEDIATE
VER,20.0,3.0,86.265,25.118,27.425,33.722,306.0,INTERMEDIATE
VER,21.0,2.0,86.578,25.132,27.783,33.663,307.0,INTERMEDIATE
VER,22.0,2.0,86.59,25.151,27.939,33.5,304.0,INTERMEDIATE
VER,23.0,2.0,86.591,25.233,27.735,33.623,305.0,INTERMEDIATE
