Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,1.0,101.528,,29.65,43.295,304.0,MEDIUM
VER,2.0,1.0,100.103,26.651,30.091,43.361,308.0,MEDIUM
VER,3.0,1.0,100.494,27.011,30.19,43.293,307.0,MEDIUM
VER,4.0,1.0,100.573,26.923000000000002,30.187,43.463,307.0,MEDIUM
VER,5.0,1.0,100.919,27.106,30.299,43.514,307.0,MEDIUM
VER,6.0,1.0,101.147,27.114,30.431,43.602,308.0,MEDIUM
VER,7.0,1.0,101.118,27.164,30.362,43.592,309.0,MEDIUM
VER,8.0,1.0,101.11,27.129,30.395,43.586,309.0,MEDIUM
VER,9.0,1.0,101.155,27.111,30.392,43.652,308.0,MEDIUM
VER,10.0,1.0,101.424,27.172,30.519,43.733,308.0,MEDIUM
VER,11.0,1.0,101.401,27.17,30.646,43.585,308.0,MEDIUM
VER,12.0,1.0,101.318,27.121,30.558,43.639,308.0,MEDIUM
VER,13.0,1.0,106.526,27.05,30.576,48.9,310.0,MEDIUM
VER,14.0,3.0,119.074,45.631,30.099,43.344,332.0,HARD
VER,15.0,3.0,99.591,26.64,29.773,43.178,316.0,HARD
VER,16.0,2.0,99.985,26.616,30.137,43.232,310.0,HARD
VER,17.0,2.0,99.519,26.503,29.874,43.142,311.0,HARD
VER,18.0,2.0,100.07,26.781,30.075,43.214,312.0,HARD
VER,19.0,1.0,100.139,26.72,30.245,43.174,333.0,HARD
VER,20.0,1.0,100.081,26.759,29.937,43.385,309.0,HARD
VER,21.0,1.0,100.49,26.737,30.083,43.67,308.0,HARD
VER,22.0,1.0,134.296,35.865,40.703,57.728,256.0,HARD
VER,23.0,1.0,137.938,35.57,39.478,62.89,212.0,HARD
VER,24.0,1.0,,54.357,47.051,64.876,144.0,HARD
VER,25.0,1.0,145.05,38.16,46.49,60.4,271.0,HARD
VER,26.0,1.0,,35.833,43.649,77.86,126.0,HARD
VER,27.0,1.0,107.123,26.034,29.474,51.615,309.0,HARD
VER,28.0,1.0,,34.861,50.842,65.746,153.0,HARD
VER,29.0,1.0,146.57,39.616,44.166,62.788,190.0,HARD
VER,30.0,1.0,140.118,36.62,44.106,59.392,274.0,HARD
VER,31.0,1.0,148.77,35.883,44.116,68.771,135.0,HARD
VER,32.0,1.0,98.604,26.06,29.829,42.715,309.0,HARD
VER,33.0,1.0,98.406,26.22,29.365,42.821,307.0,HARD
VER,34.0,1.0,98.426,26.212,29.467,42.747,308.0,HARD
VER,35.0,1.0,98.765,26.531,29.475,42.759,308.0,HARD
VER,36.0,1.0,98.825,26.274,29.67,42.881,308.0,HARD
VER,37.0,1.0,98.801,26.374,29.635,42.792,309.0,HARD
VER,38.0,1.0,98.855,26.332,29.569,42.954,309.0,HARD
VER,39.0,1.0,98.742,26.312,29.65,42.78,309.0,HARD
VER,40.0,1.0,98.956,26.475,29.69,42.791,309.0,HARD
VER,41.0,1.0,99.067,26.48,29.614,42.973,309.0,HARD
VER,42.0,1.0,99.227,26.533,29.71,42.984,308.0,HARD
VER,43.0,1.0,99.224,26.429,29.694,43.101,308.0,HARD
VER,44.0,1.0,99.305,26.502,29.811,42.992,308.0,HARD
VER,45.0,1.0,99.216,26.507,29.629,43.08,308.0,HARD
VER,46.0,1.0,99.433,26.517,29.767,43.149,308.0,HARD
VER,47.0,1.0,99.422,26.62,29.721,43.081,309.0,HARD
VER,48.0,1.0,99.325,26.496,29.709,43.12,308.0,HARD
VER,49.0,1.0,99.35,26.492,29.719,43.139,307.0,HARD
VER,50.0,1.0,99.445,26.51,29.92,43.015,308.0,HARD
VER,51.0,1.0,99.276,26.484,29.775,43.017,308.0,HARD
VER,52.0,1.0,99.694,26.581,29.964,43.149,308.0,HARD
VER,53.0,1.0,99.654,26.533,29.985,43.136,309.0,HARD
VER,54.0,1.0,99.773,26.599,29.912,43.262,310.0,HARD
VER,55.0,1.0,99.805,26.714,29.867,43.224,309.0,HARD
VER,56.0,1.0,100.253,26.661,29.992,43.6,309.0,HARD
GAS,1.0,14.0,109.907,,32.305,45.417,310.0,MEDIUM
GAS,2.0,14.0,103.179,27.391,31.424,44.364,334.0,MEDIUM
GAS,3.0,14.0,103.012,27.238,31.321,44.453,329.0,MEDIUM
GAS,4.0,14.0,102.847,27.15,31.25,44.447,335.0,MEDIUM
GAS,5.0,14.0,103.552,27.593,31.399,44.56,329.0,MEDIUM
GAS,6.0,14.0,103.494,27.579,31.338,44.577,323.0,MEDIUM
GAS,7.0,14.0,103.352,27.528,31.299,44.525,326.0,MEDIUM
GAS,8.0,13.0,103.871,27.673000000000002,31.519,44.679,325.0,MEDIUM
GAS,9.0,10.0,103.691,27.522,31.562,44.607,323.0,MEDIUM
GAS,10.0,9.0,103.435,27.311,31.437,44.687,300.0,MEDIUM
GAS,11.0,11.0,108.722,27.727,31.204,49.791,300.0,MEDIUM
GAS,12.0,20.0,137.655,63.258,30.614,43.783,300.0,HARD
GAS,13.0,20.0,101.071,27.043,30.265,43.763,302.0,HARD
GAS,14.0,20.0,101.893,27.333,30.439,44.121,302.0,HARD
GAS,15.0,20.0,101.679,27.204,30.382,44.093,301.0,HARD
GAS,16.0,20.0,102.107,27.248,30.667,44.192,298.0,HARD
GAS,17.0,20.0,101.956,27.303,30.519,44.134,298.0,HARD
GAS,18.0,19.0,101.812,27.118,30.516,44.178,297.0,HARD
GAS,19.0,19.0,102.136,27.302,30.451,44.383,296.0,HARD
GAS,20.0,18.0,102.229,27.252,30.52,44.457,296.0,HARD
GAS,21.0,18.0,123.25,27.165,37.882,58.203,247.0,HARD
GAS,22.0,18.0,134.094,37.197,41.731,55.166,185.0,HARD
GAS,23.0,19.0,138.481,36.277,39.366,62.838,220.0,HARD
GAS,24.0,19.0,149.898,52.564,41.574,55.76,183.0,HARD
GAS,25.0,19.0,109.465,29.146,33.221,47.098,285.0,HARD
GAS,26.0,18.0,132.45,29.516,39.105,63.829,111.0,HARD
GAS,27.0,16.0,118.826,27.235,32.258,59.333,179.0,HARD
GAS,28.0,16.0,146.862,32.193,51.095,63.574,261.0,HARD
GAS,29.0,16.0,146.365,40.034,45.883,60.448,220.0,HARD
GAS,30.0,16.0,140.888,35.686,45.132,60.07,239.0,HARD
GAS,31.0,16.0,139.27,35.216,44.757,59.297,141.0,HARD
GAS,32.0,16.0,101.886,26.989,30.76,44.137,315.0,HARD
GAS,33.0,14.0,102.047,27.021,30.957,44.069,337.0,HARD
GAS,34.0,14.0,101.522,26.869,30.671,43.982,324.0,HARD
GAS,35.0,14.0,101.078,26.903,30.4,43.775,325.0,HARD
GAS,36.0,14.0,101.311,26.719,30.619,43.973,330.0,HARD
GAS,37.0,13.0,101.071,26.683,30.446,43.942,303.0,HARD
GAS,38.0,16.0,106.348,26.86,30.38,49.108,301.0,HARD
GAS,39.0,16.0,118.239,45.416,29.829,42.994,299.0,MEDIUM
GAS,40.0,16.0,99.198,26.381,29.724,43.093,297.0,MEDIUM
GAS,41.0,15.0,99.758,26.464,29.968,43.326,295.0,MEDIUM
GAS,42.0,15.0,100.024,26.735,29.824,43.465,297.0,MEDIUM
GAS,43.0,15.0,100.029,26.675,29.951,43.403,298.0,MEDIUM
GAS,44.0,15.0,99.906,26.647,29.95,43.309,298.0,MEDIUM
GAS,45.0,15.0,100.065,26.604,30.016,43.445,299.0,MEDIUM
GAS,46.0,15.0,100.25,26.703,29.977,43.57,300.0,MEDIUM
GAS,47.0,15.0,100.397,26.674,29.913,43.81,305.0,MEDIUM
GAS,48.0,14.0,101.551,26.507,31.408,43.636,325.0,MEDIUM
GAS,49.0,14.0,100.305,26.766,30.071,43.468,297.0,MEDIUM
GAS,50.0,14.0,100.138,26.558,30.127,43.453,300.0,MEDIUM
GAS,51.0,14.0,100.497,26.744,30.177,43.576,301.0,MEDIUM
GAS,52.0,14.0,101.052,26.826999999999998,30.393,43.832,321.0,MEDIUM
GAS,53.0,13.0,101.373,26.98,30.549,43.844,301.0,MEDIUM
GAS,54.0,13.0,100.727,26.831,30.209,43.687,304.0,MEDIUM
GAS,55.0,13.0,100.737,26.799,30.2,43.738,304.0,MEDIUM
GAS,56.0,13.0,100.819,26.803,30.336,43.68,304.0,MEDIUM
PER,1.0,3.0,103.97,,31.037,43.769,310.0,MEDIUM
PER,2.0,3.0,100.881,26.856,30.498,43.527,331.0,MEDIUM
PER,3.0,3.0,100.973,27.004,30.644,43.325,329.0,MEDIUM
PER,4.0,3.0,101.604,27.0,30.985,43.619,331.0,MEDIUM
PER,5.0,2.0,101.625,26.937,30.787,43.901,305.0,MEDIUM
PER,6.0,2.0,101.656,27.19,30.742,43.724,309.0,MEDIUM
PER,7.0,2.0,101.583,27.096,30.603,43.884,309.0,MEDIUM
PER,8.0,2.0,101.713,27.121,30.761,43.831,306.0,MEDIUM
PER,9.0,2.0,101.768,27.242,30.619,43.907,310.0,MEDIUM
PER,10.0,2.0,101.84,27.198,30.848,43.794,309.0,MEDIUM
PER,11.0,2.0,101.767,27.22,30.826,43.721,308.0,MEDIUM
PER,12.0,2.0,102.266,27.442,30.963,43.861,309.0,MEDIUM
PER,13.0,3.0,106.866,27.325,30.895,48.646,310.0,MEDIUM
PER,14.0,6.0,118.255,45.143,29.986,43.126,310.0,HARD
PER,15.0,6.0,100.038,26.701999999999998,30.175,43.161,314.0,HARD
PER,16.0,5.0,100.556,26.763,30.254,43.539,312.0,HARD
PER,17.0,4.0,102.103,26.834,31.213,44.056,334.0,HARD
PER,18.0,4.0,100.199,26.92,30.085,43.194,311.0,HARD
PER,19.0,4.0,100.313,26.929,30.099,43.285,310.0,HARD
PER,20.0,4.0,100.522,26.801,30.119,43.602,311.0,HARD
PER,21.0,3.0,107.126,26.877,30.246,50.003,311.0,HARD
PER,22.0,3.0,133.674,34.584,43.092,55.998,279.0,HARD
PER,23.0,2.0,137.492,36.656,40.424,60.412,281.0,HARD
PER,24.0,4.0,,51.259,38.338,62.896,247.0,HARD
PER,25.0,4.0,144.356,35.618,47.349,61.389,265.0,HARD
PER,26.0,4.0,,33.954,44.198,77.091,115.0,HARD
PER,27.0,4.0,109.072,26.812,30.047,52.213,313.0,HARD
PER,28.0,4.0,,35.329,50.551,65.424,147.0,HARD
PER,29.0,4.0,145.947,39.211,45.775,60.961,260.0,HARD
PER,30.0,4.0,141.644,35.589,44.431,61.624,261.0,HARD
PER,31.0,4.0,145.856,33.147,44.73,67.979,127.0,HARD
PER,32.0,4.0,99.731,26.494,29.951999999999998,43.285,313.0,HARD
PER,33.0,4.0,99.388,26.362,29.915,43.111,330.0,HARD
PER,34.0,4.0,99.512,26.285,30.083,43.144,328.0,HARD
PER,35.0,4.0,99.698,26.499,30.179,43.02,330.0,HARD
PER,36.0,4.0,99.68,26.338,30.29,43.052,330.0,HARD
PER,37.0,4.0,100.005,26.445,30.243,43.317,331.0,HARD
PER,38.0,4.0,100.068,26.507,30.385,43.176,331.0,HARD
PER,39.0,3.0,99.409,26.318,30.089,43.002,310.0,HARD
PER,40.0,3.0,99.687,26.606,29.917,43.164,309.0,HARD
PER,41.0,3.0,99.599,26.6,29.953,43.046,307.0,HARD
PER,42.0,3.0,99.521,26.403,29.976,43.142,309.0,HARD
PER,43.0,3.0,99.607,26.529,29.899,43.179,310.0,HARD
PER,44.0,3.0,99.722,26.487,30.023,43.212,309.0,HARD
PER,45.0,3.0,99.849,26.591,30.005,43.253,310.0,HARD
PER,46.0,3.0,99.966,26.686,30.091,43.189,310.0,HARD
PER,47.0,3.0,99.955,26.66,30.006,43.289,309.0,HARD
PER,48.0,3.0,99.961,26.647,29.974,43.34,309.0,HARD
PER,49.0,3.0,99.903,26.588,29.988,43.327,309.0,HARD
PER,50.0,3.0,100.052,26.645,30.112,43.295,309.0,HARD
PER,51.0,3.0,99.906,26.57,30.025,43.311,309.0,HARD
PER,52.0,3.0,100.123,26.576,30.17,43.377,309.0,HARD
PER,53.0,3.0,100.196,26.729,30.113,43.354,310.0,HARD
PER,54.0,3.0,100.228,26.692,30.202,43.334,311.0,HARD
PER,55.0,3.0,100.593,26.768,30.179,43.646,310.0,HARD
PER,56.0,3.0,100.65,26.891,30.202,43.557,309.0,HARD
ALO,1.0,2.0,103.173,,30.575,43.622,308.0,MEDIUM
ALO,2.0,2.0,101.128,26.834,30.45,43.844,303.0,MEDIUM
ALO,3.0,2.0,100.988,26.859,30.616,43.513,309.0,MEDIUM
