Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,1.0,82.881,,27.949,27.0,280.0,MEDIUM
VER,2.0,1.0,80.596,25.604,27.925,27.067,281.0,MEDIUM
VER,3.0,1.0,80.872,25.743,28.104,27.025,281.0,MEDIUM
VER,4.0,1.0,80.671,25.651,27.991,27.029,281.0,MEDIUM
VER,5.0,1.0,80.734,25.602,28.041,27.091,282.0,MEDIUM
VER,6.0,1.0,80.868,25.697,28.085,27.086,284.0,MEDIUM
VER,7.0,1.0,80.868,25.734,28.186,26.948,284.0,MEDIUM
VER,8.0,1.0,80.762,25.71,28.135,26.917,286.0,MEDIUM
VER,9.0,1.0,80.543,25.629,27.978,26.936,287.0,MEDIUM
VER,10.0,1.0,81.093,25.633,28.203,27.257,283.0,MEDIUM
VER,11.0,1.0,80.885,25.704,28.03,27.151,289.0,MEDIUM
VER,12.0,1.0,81.287,25.804,28.255,27.228,287.0,MEDIUM
VER,13.0,1.0,81.073,25.696,28.234,27.143,289.0,MEDIUM
VER,14.0,1.0,80.982,25.581,28.272,27.129,288.0,MEDIUM
VER,15.0,1.0,81.323,25.748,28.272,27.303,285.0,MEDIUM
VER,16.0,1.0,81.362,25.738,28.326,27.298,287.0,MEDIUM
VER,17.0,1.0,81.328,25.732,28.315,27.281,288.0,MEDIUM
VER,18.0,1.0,81.411,25.765,28.307,27.339,290.0,MEDIUM
VER,19.0,1.0,81.517,25.826,28.376,27.315,288.0,MEDIUM
VER,20.0,1.0,81.55,25.731,28.433,27.386,290.0,MEDIUM
VER,21.0,1.0,81.608,25.888,28.323,27.397,289.0,MEDIUM
VER,22.0,1.0,81.763,25.802,28.448,27.513,294.0,MEDIUM
VER,23.0,1.0,81.988,25.778,28.626,27.584,287.0,MEDIUM
VER,24.0,1.0,86.212,25.862,28.604,31.746,293.0,MEDIUM
VER,25.0,4.0,103.602,48.939,27.886,26.777,287.0,HARD
VER,26.0,3.0,80.482,25.444,28.057,26.981,288.0,HARD
VER,27.0,2.0,80.943,25.567,28.163,27.213,288.0,HARD
VER,28.0,1.0,80.709,25.598,28.087,27.024,290.0,HARD
VER,29.0,1.0,80.615,25.528,28.108,26.979,292.0,HARD
VER,30.0,1.0,80.571,25.523,28.17,26.878,293.0,HARD
VER,31.0,1.0,80.545,25.429,28.108,27.008,294.0,HARD
VER,32.0,1.0,80.713,25.456,28.238,27.019,294.0,HARD
VER,33.0,1.0,81.141,25.78,28.264,27.097,295.0,HARD
VER,34.0,1.0,80.76,25.491,28.155,27.114,295.0,HARD
VER,35.0,1.0,80.8,25.532,28.176,27.092,296.0,HARD
VER,36.0,1.0,80.704,25.508,28.082,27.114,297.0,HARD
VER,37.0,1.0,80.484,25.385,28.131,26.968,296.0,HARD
VER,38.0,1.0,80.366,25.301,28.086,26.979,295.0,HARD
VER,39.0,1.0,80.547,25.552,28.024,26.971,296.0,HARD
VER,40.0,1.0,80.645,25.473,28.046,27.126,294.0,HARD
VER,41.0,1.0,80.675,25.483,28.075,27.117,296.0,HARD
VER,42.0,1.0,80.832,25.655,28.098,27.079,296.0,HARD
VER,43.0,1.0,80.757,25.58,28.096,27.081,294.0,HARD
VER,44.0,1.0,80.834,25.442,28.139,27.253,295.0,HARD
VER,45.0,1.0,81.364,25.628,28.332,27.404,296.0,HARD
VER,46.0,1.0,80.7,25.324,28.278,27.098,295.0,HARD
VER,47.0,1.0,80.909,25.657,28.143,27.109,293.0,HARD
VER,48.0,1.0,80.923,25.612,28.25,27.061,295.0,HARD
VER,49.0,1.0,80.823,25.522,28.202,27.099,297.0,HARD
VER,50.0,1.0,80.817,25.456,28.139,27.222,297.0,HARD
VER,51.0,1.0,80.736,25.541,28.085,27.11,297.0,HARD
VER,52.0,1.0,80.556,25.536,28.206,26.814,298.0,HARD
VER,53.0,1.0,80.638,25.396,28.185,27.057,296.0,HARD
VER,54.0,1.0,80.918,25.422,28.128,27.368,295.0,HARD
VER,55.0,1.0,80.962,25.67,28.278,27.014,294.0,HARD
VER,56.0,1.0,80.49,25.434,28.118,26.938,294.0,HARD
VER,57.0,1.0,80.511,25.479,27.981,27.051,296.0,HARD
VER,58.0,1.0,80.513,25.436,28.125,26.951999999999998,296.0,HARD
VER,59.0,1.0,80.367,25.461,27.898,27.008,295.0,HARD
VER,60.0,1.0,80.637,25.549,28.01,27.078,296.0,HARD
VER,61.0,1.0,80.698,25.458,28.148,27.092,289.0,HARD
VER,62.0,1.0,80.753,25.616,27.997,27.14,291.0,HARD
VER,63.0,1.0,81.035,25.644,28.107,27.284,299.0,HARD
NOR,1.0,2.0,83.764,,28.266,26.966,287.0,MEDIUM
NOR,2.0,2.0,80.673,25.691,28.003,26.979,284.0,MEDIUM
NOR,3.0,2.0,80.884,25.817,28.151,26.916,293.0,MEDIUM
NOR,4.0,2.0,81.205,25.779,28.307,27.119,274.0,MEDIUM
NOR,5.0,2.0,81.046,25.638,28.344,27.064,279.0,MEDIUM
NOR,6.0,2.0,80.909,25.69,28.166,27.053,290.0,MEDIUM
NOR,7.0,2.0,80.923,25.621,28.191,27.111,290.0,MEDIUM
