Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
HAM,1.0,3.0,96.034,,37.703,25.484,299.0,MEDIUM
HAM,2.0,2.0,91.42,29.249,37.314,24.857,319.0,MEDIUM
HAM,3.0,2.0,91.716,29.287,37.133,25.296,294.0,MEDIUM
HAM,4.0,2.0,91.988,29.554,37.258,25.176,295.0,MEDIUM
HAM,5.0,2.0,91.677,29.469,37.231,24.977,297.0,MEDIUM
HAM,6.0,2.0,91.746,29.486,37.195,25.065,299.0,MEDIUM
HAM,7.0,2.0,91.675,29.518,37.064,25.093,296.0,MEDIUM
HAM,8.0,2.0,91.76,29.475,37.201,25.084,298.0,MEDIUM
HAM,9.0,2.0,91.564,29.496,36.954,25.114,294.0,MEDIUM
HAM,10.0,2.0,91.515,29.484,36.923,25.108,297.0,MEDIUM
HAM,11.0,2.0,91.487,29.412,37.003,25.072,300.0,MEDIUM
HAM,12.0,2.0,91.563,29.429,36.937,25.197,298.0,MEDIUM
HAM,13.0,2.0,91.881,29.817,37.067,24.997,303.0,MEDIUM
HAM,14.0,2.0,91.609,29.552,37.045,25.012,299.0,MEDIUM
HAM,15.0,2.0,91.563,29.52,37.024,25.019,297.0,MEDIUM
HAM,16.0,2.0,91.931,29.491,36.755,25.685,299.0,MEDIUM
HAM,17.0,2.0,93.721,29.743,36.945,27.033,300.0,MEDIUM
HAM,18.0,1.0,95.071,29.752,37.612,27.707,318.0,MEDIUM
HAM,19.0,1.0,103.711,34.046,40.683,28.982,298.0,MEDIUM
HAM,20.0,3.0,100.021,33.695,39.257,27.069,304.0,MEDIUM
HAM,21.0,3.0,92.156,29.881,37.046,25.229,298.0,MEDIUM
HAM,22.0,3.0,91.095,29.387,36.821,24.887,306.0,MEDIUM
HAM,23.0,3.0,91.107,29.369,36.814,24.924,305.0,MEDIUM
HAM,24.0,3.0,91.635,29.344,36.872,25.419,299.0,MEDIUM
HAM,25.0,3.0,94.988,29.923000000000002,38.568,26.497,298.0,MEDIUM
HAM,26.0,3.0,100.792,30.114,42.065,28.613,302.0,MEDIUM
HAM,27.0,2.0,105.183,31.477,45.498,28.208,302.0,MEDIUM
HAM,28.0,3.0,120.866,52.668,40.319,27.879,292.0,INTERMEDIATE
HAM,29.0,2.0,100.42,31.69,40.569,28.161,299.0,INTERMEDIATE
HAM,30.0,2.0,100.467,31.833,40.4,28.234,298.0,INTERMEDIATE
HAM,31.0,2.0,101.538,31.9,40.828,28.81,299.0,INTERMEDIATE
HAM,32.0,2.0,102.475,32.107,41.398,28.97,298.0,INTERMEDIATE
HAM,33.0,2.0,102.435,32.312,41.325,28.798000000000002,297.0,INTERMEDIATE
HAM,34.0,2.0,102.757,32.419,41.475,28.863,300.0,INTERMEDIATE
HAM,35.0,2.0,102.271,32.513,41.544,28.214,299.0,INTERMEDIATE
HAM,36.0,2.0,101.924,32.184,42.037,27.703,300.0,INTERMEDIATE
HAM,37.0,2.0,99.711,31.694,41.125,26.892,302.0,INTERMEDIATE
HAM,38.0,2.0,97.22,31.208,40.056,25.956,302.0,INTERMEDIATE
HAM,39.0,3.0,117.389,53.812,38.414,25.163,306.0,SOFT
HAM,40.0,1.0,90.318,28.689,36.767,24.862,291.0,SOFT
HAM,41.0,1.0,90.118,28.96,36.367,24.791,290.0,SOFT
HAM,42.0,1.0,89.617,28.922,36.207,24.488,300.0,SOFT
HAM,43.0,1.0,89.793,28.884,36.195,24.714,300.0,SOFT
HAM,44.0,1.0,89.697,29.087,36.164,24.446,300.0,SOFT
HAM,45.0,1.0,89.438,29.064,36.042,24.332,303.0,SOFT
HAM,46.0,1.0,89.641,29.154,36.156,24.331,304.0,SOFT
HAM,47.0,1.0,89.538,29.069,36.025,24.444,300.0,SOFT
HAM,48.0,1.0,89.579,29.144,36.0,24.435,299.0,SOFT
HAM,49.0,1.0,89.667,29.218,36.038,24.411,301.0,SOFT
HAM,50.0,1.0,89.682,29.222,35.946,24.514,302.0,SOFT
HAM,51.0,1.0,89.743,29.128,36.03,24.585,298.0,SOFT
HAM,52.0,1.0,90.146,29.302,36.135,24.709,301.0,SOFT
VER,1.0,4.0,96.711,,37.975,25.708,290.0,MEDIUM
VER,2.0,3.0,91.773,29.612,37.222,24.939,316.0,MEDIUM
VER,3.0,3.0,92.2,29.672,37.216,25.312,294.0,MEDIUM
VER,4.0,3.0,91.933,29.626,37.09,25.217,296.0,MEDIUM
VER,5.0,3.0,91.778,29.608,37.007,25.163,297.0,MEDIUM
VER,6.0,3.0,91.711,29.471,37.07,25.17,295.0,MEDIUM
VER,7.0,3.0,91.935,29.586,37.024,25.325,294.0,MEDIUM
VER,8.0,3.0,92.038,29.655,37.087,25.296,296.0,MEDIUM
VER,9.0,3.0,91.883,29.639,36.978,25.266,294.0,MEDIUM
VER,10.0,3.0,91.661,29.557,36.884,25.22,297.0,MEDIUM
VER,11.0,3.0,91.81,29.524,37.06,25.226,295.0,MEDIUM
VER,12.0,3.0,91.894,29.529,37.046,25.319,295.0,MEDIUM
VER,13.0,3.0,91.759,29.562,37.021,25.176,298.0,MEDIUM
VER,14.0,3.0,91.7,29.517,37.027,25.156,302.0,MEDIUM
VER,15.0,4.0,92.249,29.622,36.874,25.753,302.0,MEDIUM
VER,16.0,4.0,92.504,29.493,37.097,25.914,292.0,MEDIUM
VER,17.0,5.0,95.359,29.826999999999998,37.281,28.251,290.0,MEDIUM
VER,18.0,5.0,96.172,30.085,37.891,28.196,294.0,MEDIUM
VER,19.0,5.0,102.485,33.582,40.925,27.978,292.0,MEDIUM
VER,20.0,5.0,97.108,31.872,39.086,26.15,296.0,MEDIUM
VER,21.0,5.0,93.488,30.031,37.975,25.482,295.0,MEDIUM
VER,22.0,5.0,91.904,29.61,37.027,25.267,294.0,MEDIUM
VER,23.0,5.0,92.143,29.632,37.148,25.363,297.0,MEDIUM
VER,24.0,5.0,93.02,29.699,37.341,25.98,296.0,MEDIUM
VER,25.0,5.0,96.063,29.999,38.958,27.106,297.0,MEDIUM
VER,26.0,5.0,101.491,30.72,43.858,26.913,295.0,MEDIUM
VER,27.0,5.0,119.169,51.084,40.561,27.524,289.0,INTERMEDIATE
VER,28.0,4.0,101.176,31.767,41.184,28.225,296.0,INTERMEDIATE
VER,29.0,3.0,101.533,31.943,41.241,28.349,295.0,INTERMEDIATE
VER,30.0,3.0,102.098,32.368,41.071,28.659,290.0,INTERMEDIATE
VER,31.0,3.0,102.025,32.091,41.086,28.848,291.0,INTERMEDIATE
VER,32.0,3.0,102.538,32.47,41.197,28.871,292.0,INTERMEDIATE
VER,33.0,3.0,102.606,32.275,41.381,28.95,292.0,INTERMEDIATE
VER,34.0,3.0,102.447,32.316,41.542,28.589,295.0,INTERMEDIATE
VER,35.0,3.0,103.029,32.556,42.058,28.415,295.0,INTERMEDIATE
VER,36.0,3.0,101.958,32.172,42.007,27.779,294.0,INTERMEDIATE
VER,37.0,3.0,98.869,31.547,40.385,26.937,295.0,INTERMEDIATE
VER,38.0,3.0,95.963,30.903,39.254,25.806,298.0,INTERMEDIATE
VER,39.0,4.0,118.311,53.747,38.012,26.552,299.0,HARD
VER,40.0,3.0,90.056,28.866,36.203,24.987,298.0,HARD
VER,41.0,3.0,89.604,28.789,35.955,24.86,292.0,HARD
VER,42.0,3.0,89.472,28.913,35.869,24.69,295.0,HARD
VER,43.0,3.0,89.105,28.984,35.655,24.466,294.0,HARD
VER,44.0,3.0,89.372,28.97,35.867,24.535,294.0,HARD
VER,45.0,3.0,89.137,29.056,35.591,24.49,296.0,HARD
VER,46.0,3.0,89.543,29.141,35.901,24.501,297.0,HARD
VER,47.0,3.0,89.411,28.989,35.905,24.517,298.0,HARD
VER,48.0,2.0,88.952,28.807,36.166,23.979,327.0,HARD
VER,49.0,2.0,89.56,29.166,35.949,24.445,292.0,HARD
VER,50.0,2.0,89.286,29.084,35.787,24.415,290.0,HARD
VER,51.0,2.0,89.443,29.097,35.888,24.458,289.0,HARD
VER,52.0,2.0,89.089,29.149,35.714,24.226,306.0,HARD
NOR,1.0,5.0,97.347,,38.34,25.641,293.0,MEDIUM
NOR,2.0,4.0,92.188,29.225,37.918,25.045,320.0,MEDIUM
NOR,3.0,4.0,91.991,29.279,37.536,25.176,312.0,MEDIUM
NOR,4.0,4.0,91.976,29.32,37.452,25.204,309.0,MEDIUM
NOR,5.0,4.0,91.716,29.363,37.239,25.114,312.0,MEDIUM
NOR,6.0,4.0,91.896,29.368,37.443,25.085,313.0,MEDIUM
NOR,7.0,4.0,92.071,29.557,37.223,25.291,296.0,MEDIUM
NOR,8.0,4.0,92.018,29.566,37.16,25.292,298.0,MEDIUM
NOR,9.0,4.0,91.976,29.558,37.179,25.239,298.0,MEDIUM
NOR,10.0,4.0,91.83,29.516,37.134,25.18,300.0,MEDIUM
NOR,11.0,4.0,91.748,29.417,37.15,25.181,299.0,MEDIUM
NOR,12.0,4.0,91.718,29.501,37.046,25.171,300.0,MEDIUM
NOR,13.0,4.0,91.472,29.496,36.95,25.026,315.0,MEDIUM
NOR,14.0,4.0,91.407,29.3,37.048,25.059,318.0,MEDIUM
NOR,15.0,3.0,90.946,29.38,36.994,24.572,326.0,MEDIUM
NOR,16.0,3.0,91.69,29.378,36.807,25.505,296.0,MEDIUM
NOR,17.0,3.0,94.304,29.606,37.055,27.643,300.0,MEDIUM
NOR,18.0,3.0,94.125,29.647,37.024,27.454,302.0,MEDIUM
NOR,19.0,2.0,101.436,32.74,40.852,27.844,301.0,MEDIUM
NOR,20.0,1.0,97.704,32.09,39.513,26.101,297.0,MEDIUM
NOR,21.0,1.0,91.513,29.432,37.163,24.918,301.0,MEDIUM
NOR,22.0,1.0,90.86,29.314,36.786,24.76,299.0,MEDIUM
NOR,23.0,1.0,91.176,29.451,36.841,24.884,302.0,MEDIUM
NOR,24.0,1.0,91.629,29.489,36.747,25.393,298.0,MEDIUM
NOR,25.0,1.0,94.307,29.696,38.185,26.426,298.0,MEDIUM
NOR,26.0,1.0,101.515,30.452,42.458,28.605,301.0,MEDIUM
NOR,27.0,1.0,104.806,32.069,45.057,27.68,302.0,MEDIUM
NOR,28.0,2.0,120.915,52.053,40.758,28.104,290.0,INTERMEDIATE
NOR,29.0,1.0,100.266,31.594,40.61,28.062,297.0,INTERMEDIATE
NOR,30.0,1.0,100.717,31.98,40.583,28.154,297.0,INTERMEDIATE
NOR,31.0,1.0,101.313,31.855,40.682,28.776,296.0,INTERMEDIATE
NOR,32.0,1.0,102.216,32.262,41.072,28.882,297.0,INTERMEDIATE
NOR,33.0,1.0,102.607,32.409,41.234,28.964,297.0,INTERMEDIATE
NOR,34.0,1.0,103.078,32.496,41.716,28.866,297.0,INTERMEDIATE
NOR,35.0,1.0,102.935,32.639,41.786,28.51,299.0,INTERMEDIATE
NOR,36.0,1.0,102.34,32.53,42.138,27.672,299.0,INTERMEDIATE
NOR,37.0,1.0,99.786,31.936,40.846,27.004,299.0,INTERMEDIATE
NOR,38.0,1.0,97.999,31.328,39.844,26.826999999999998,300.0,INTERMEDIATE
NOR,39.0,1.0,96.746,31.241,39.866,25.639,304.0,INTERMEDIATE
