Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
PIA,1.0,1.0,86.746,,29.625,23.513,244.0,MEDIUM
PIA,2.0,1.0,84.038,29.924,30.425,23.689,285.0,MEDIUM
PIA,3.0,1.0,84.401,30.303,30.297,23.801,283.0,MEDIUM
PIA,4.0,1.0,84.115,30.145,30.338,23.632,284.0,MEDIUM
PIA,5.0,1.0,83.796,30.091,30.157,23.548000000000002,,MEDIUM
PIA,6.0,1.0,83.846,30.008,30.248,23.59,,MEDIUM
PIA,7.0,1.0,84.11,30.163,30.201,23.746,,MEDIUM
PIA,8.0,1.0,83.892,30.068,30.192,23.632,285.0,MEDIUM
PIA,9.0,1.0,84.206,30.054,30.348,23.804,,MEDIUM
PIA,10.0,1.0,84.257,30.286,30.286,23.685,284.0,MEDIUM
PIA,11.0,1.0,84.062,30.206,30.227,23.629,285.0,MEDIUM
PIA,12.0,1.0,83.893,30.077,30.128,23.688,,MEDIUM
PIA,13.0,1.0,83.887,30.139,30.039,23.709,,MEDIUM
PIA,14.0,1.0,84.683,30.389,30.334,23.96,,MEDIUM
PIA,15.0,1.0,84.299,30.285,30.204,23.81,,MEDIUM
PIA,16.0,1.0,84.237,30.211,30.174,23.852,286.0,MEDIUM
PIA,17.0,1.0,84.248,30.29,30.207,23.751,285.0,MEDIUM
PIA,18.0,1.0,86.496,30.228,30.152,26.116,,MEDIUM
PIA,19.0,4.0,102.479,48.506,30.391,23.582,,HARD
PIA,20.0,4.0,83.603,29.964,30.107,23.532,286.0,HARD
PIA,21.0,3.0,83.474,30.019,29.893,23.562,289.0,HARD
PIA,22.0,2.0,83.267,30.038,29.836,23.393,287.0,HARD
PIA,23.0,2.0,83.102,29.975,29.689,23.438,288.0,HARD
PIA,24.0,1.0,83.095,29.951,29.712,23.432,286.0,HARD
PIA,25.0,1.0,82.962,30.01,29.615,23.337,,HARD
PIA,26.0,1.0,82.654,29.83,29.559,23.265,,HARD
PIA,27.0,1.0,82.747,29.915,29.536,23.296,287.0,HARD
PIA,28.0,1.0,82.79,29.906,29.44,23.444,,HARD
PIA,29.0,1.0,82.704,29.853,29.45,23.401,288.0,HARD
PIA,30.0,1.0,83.041,29.913,29.524,23.604,287.0,HARD
PIA,31.0,1.0,83.172,29.918,29.539,23.715,288.0,HARD
PIA,32.0,1.0,83.397,29.956,29.712,23.729,290.0,HARD
PIA,33.0,1.0,85.863,30.044,30.614,25.205,289.0,HARD
PIA,34.0,1.0,84.729,30.406,30.392,23.931,288.0,HARD
PIA,35.0,1.0,84.557,30.296,30.278,23.983,289.0,HARD
PIA,36.0,1.0,84.193,30.178,30.143,23.872,290.0,HARD
PIA,37.0,1.0,84.384,30.239,30.152,23.993,289.0,HARD
PIA,38.0,1.0,84.171,30.23,30.106,23.835,,HARD
PIA,39.0,1.0,84.24,30.326,30.158,23.756,288.0,HARD
PIA,40.0,1.0,83.76,30.155,29.872,23.733,,HARD
PIA,41.0,1.0,83.95,30.13,29.953,23.867,,HARD
PIA,42.0,1.0,84.071,30.189,30.002,23.88,289.0,HARD
PIA,43.0,1.0,84.2,30.145,30.214,23.841,,HARD
PIA,44.0,1.0,84.033,30.189,30.028,23.816,,HARD
PIA,45.0,1.0,84.104,30.242,29.993,23.869,288.0,HARD
PIA,46.0,1.0,84.211,30.174,30.104,23.933,292.0,HARD
PIA,47.0,1.0,86.252,30.222,30.039,25.991,,HARD
PIA,48.0,3.0,101.384,48.247,29.801,23.336,,MEDIUM
PIA,49.0,3.0,82.39,29.591,29.403,23.396,289.0,MEDIUM
PIA,50.0,2.0,81.863,29.517,29.03,23.316,290.0,MEDIUM
PIA,51.0,2.0,81.716,29.609,29.013,23.094,,MEDIUM
PIA,52.0,2.0,81.861,29.565,28.964,23.332,291.0,MEDIUM
PIA,53.0,2.0,82.367,29.562,29.328,23.477,294.0,MEDIUM
PIA,54.0,2.0,82.161,29.613,29.11,23.438,292.0,MEDIUM
PIA,55.0,2.0,81.858,29.665,28.934,23.259,293.0,MEDIUM
PIA,56.0,2.0,82.191,29.542,29.001,23.648,292.0,MEDIUM
PIA,57.0,2.0,82.505,29.777,29.164,23.564,306.0,MEDIUM
PIA,58.0,2.0,82.431,29.735,29.367,23.329,293.0,MEDIUM
PIA,59.0,2.0,82.008,29.607,28.881,23.52,290.0,MEDIUM
PIA,60.0,2.0,82.542,29.774,29.283,23.485,291.0,MEDIUM
PIA,61.0,2.0,82.06,29.59,29.144,23.326,290.0,MEDIUM
PIA,62.0,2.0,82.157,29.725,29.072,23.36,,MEDIUM
PIA,63.0,2.0,82.459,29.775,29.213,23.471,291.0,MEDIUM
PIA,64.0,2.0,83.06,29.976,29.232,23.852,290.0,MEDIUM
PIA,65.0,2.0,82.771,29.918,29.444,23.409,,MEDIUM
PIA,66.0,2.0,82.645,29.888,29.244,23.513,289.0,MEDIUM
PIA,67.0,2.0,82.62,29.825,29.262,23.533,290.0,MEDIUM
PIA,68.0,1.0,82.999,30.041,29.395,23.563,292.0,MEDIUM
PIA,69.0,1.0,82.597,29.801,29.253,23.543,293.0,MEDIUM
PIA,70.0,1.0,82.927,29.805,29.446,23.676,,MEDIUM
NOR,1.0,3.0,89.389,,30.754,23.631,242.0,MEDIUM
NOR,2.0,3.0,84.24,30.091,30.38,23.769,291.0,MEDIUM
NOR,3.0,3.0,84.393,30.228,30.495,23.67,288.0,MEDIUM
NOR,4.0,2.0,83.627,30.223,29.904,23.5,290.0,MEDIUM
NOR,5.0,2.0,83.804,30.284,29.917,23.603,289.0,MEDIUM
NOR,6.0,2.0,84.045,30.415,29.914,23.716,288.0,MEDIUM
NOR,7.0,2.0,84.085,30.296,29.973,23.816,289.0,MEDIUM
NOR,8.0,2.0,84.027,30.337,29.946,23.744,,MEDIUM
NOR,9.0,2.0,84.225,30.252,30.14,23.833,,MEDIUM
NOR,10.0,2.0,84.508,30.388,30.145,23.975,288.0,MEDIUM
NOR,11.0,2.0,84.245,30.398,30.098,23.749,289.0,MEDIUM
NOR,12.0,2.0,84.042,30.312,29.918,23.812,288.0,MEDIUM
NOR,13.0,2.0,84.343,30.361,30.084,23.898,,MEDIUM
NOR,14.0,2.0,84.367,30.254,30.1,24.013,287.0,MEDIUM
NOR,15.0,2.0,84.334,30.317,30.107,23.91,288.0,MEDIUM
NOR,16.0,2.0,84.296,30.267,30.153,23.876,,MEDIUM
NOR,17.0,2.0,86.485,30.305,30.116,26.064,287.0,MEDIUM
NOR,18.0,5.0,101.807,48.578,29.961,23.268,,HARD
NOR,19.0,5.0,83.779,30.134,29.999,23.646,285.0,HARD
NOR,20.0,5.0,83.455,29.963,29.907,23.585,288.0,HARD
NOR,21.0,5.0,83.663,30.219,29.951,23.493,289.0,HARD
NOR,22.0,3.0,83.514,30.121,29.898,23.495,290.0,HARD
NOR,23.0,3.0,83.419,30.119,29.755,23.545,,HARD
NOR,24.0,2.0,83.354,30.067,29.814,23.473,289.0,HARD
NOR,25.0,2.0,83.064,29.964,29.622,23.478,,HARD
