Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
LEC,1.0,2.0,88.179,,29.989,28.398,300.0,MEDIUM
LEC,2.0,2.0,85.396,27.707,29.265,28.424,325.0,MEDIUM
LEC,3.0,2.0,85.179,27.679,29.001,28.499,328.0,MEDIUM
LEC,4.0,2.0,84.81,27.653,28.883,28.274,327.0,MEDIUM
LEC,5.0,2.0,84.603,27.63,28.79,28.183,321.0,MEDIUM
LEC,6.0,2.0,84.663,27.596,28.945,28.122,325.0,MEDIUM
LEC,7.0,2.0,84.434,27.645,28.701,28.088,329.0,MEDIUM
LEC,8.0,2.0,84.569,27.557,28.771,28.241,333.0,MEDIUM
LEC,9.0,2.0,84.362,27.542,28.781,28.039,,MEDIUM
LEC,10.0,2.0,84.432,27.515,28.84,28.077,334.0,MEDIUM
LEC,11.0,2.0,84.846,27.633,28.951,28.262,323.0,MEDIUM
LEC,12.0,2.0,84.916,27.68,28.971,28.265,321.0,MEDIUM
LEC,13.0,2.0,85.529,27.812,29.177,28.54,,MEDIUM
LEC,14.0,2.0,85.606,27.839,29.217,28.55,320.0,MEDIUM
LEC,15.0,3.0,90.192,28.034,29.361,32.797,318.0,MEDIUM
LEC,16.0,7.0,104.888,47.985,28.75,28.153,284.0,HARD
LEC,17.0,6.0,84.27,27.458,28.73,28.082,322.0,HARD
LEC,18.0,6.0,83.875,27.408,28.571,27.896,329.0,HARD
LEC,19.0,6.0,84.203,27.354,28.722,28.127,336.0,HARD
LEC,20.0,5.0,83.826,27.483,28.623,27.72,325.0,HARD
LEC,21.0,5.0,83.88,27.423,28.725,27.732,335.0,HARD
LEC,22.0,5.0,83.768,27.358,28.484,27.926,327.0,HARD
LEC,23.0,3.0,83.864,27.438,28.501,27.925,326.0,HARD
LEC,24.0,3.0,83.64,27.347,28.551,27.742,327.0,HARD
LEC,25.0,3.0,83.59,27.38,28.445,27.765,326.0,HARD
LEC,26.0,3.0,83.321,27.356,28.307,27.658,324.0,HARD
LEC,27.0,3.0,83.534,27.38,28.412,27.742,325.0,HARD
LEC,28.0,3.0,83.284,27.337,28.297,27.65,326.0,HARD
LEC,29.0,3.0,83.229,27.336,28.301,27.592,325.0,HARD
LEC,30.0,3.0,83.359,27.361,28.259,27.739,,HARD
LEC,31.0,3.0,83.972,27.312,28.74,27.92,326.0,HARD
LEC,32.0,2.0,83.274,27.246,28.382,27.646,338.0,HARD
LEC,33.0,2.0,83.226,27.189,28.364,27.673000000000002,333.0,HARD
LEC,34.0,2.0,83.43,27.324,28.408,27.698,325.0,HARD
LEC,35.0,2.0,83.681,27.393,28.512,27.776,,HARD
LEC,36.0,2.0,83.714,27.31,28.493,27.911,,HARD
LEC,37.0,2.0,83.55,27.279,28.457,27.814,335.0,HARD
LEC,38.0,2.0,83.624,27.372,28.466,27.786,325.0,HARD
LEC,39.0,1.0,83.718,27.448,28.564,27.706,,HARD
LEC,40.0,1.0,83.69,27.399,28.465,27.826,322.0,HARD
LEC,41.0,1.0,83.611,27.372,28.44,27.799,,HARD
LEC,42.0,1.0,83.67,27.424,28.458,27.788,323.0,HARD
LEC,43.0,1.0,83.867,27.382,28.558,27.927,324.0,HARD
LEC,44.0,1.0,83.43,27.386,28.395,27.649,323.0,HARD
LEC,45.0,1.0,83.731,27.507,28.427,27.797,320.0,HARD
LEC,46.0,1.0,83.597,27.539,28.364,27.694,323.0,HARD
LEC,47.0,1.0,83.676,27.509,28.426,27.741,321.0,HARD
LEC,48.0,1.0,83.518,27.502,28.365,27.651,322.0,HARD
LEC,49.0,1.0,83.467,27.457,28.319,27.691,,HARD
LEC,50.0,1.0,83.461,27.425,28.336,27.7,,HARD
LEC,51.0,1.0,83.555,27.432,28.386,27.737,323.0,HARD
LEC,52.0,1.0,83.75,27.432,28.471,27.847,324.0,HARD
LEC,53.0,1.0,83.268,27.285,28.302,27.681,329.0,HARD
PIA,1.0,1.0,87.623,,30.021,28.254,292.0,MEDIUM
PIA,2.0,1.0,85.116,27.751,29.311,28.054,320.0,MEDIUM
PIA,3.0,1.0,85.261,27.67,29.271,28.32,,MEDIUM
PIA,4.0,1.0,84.695,27.672,28.825,28.198,317.0,MEDIUM
PIA,5.0,1.0,84.66,27.701999999999998,28.906,28.052,,MEDIUM
PIA,6.0,1.0,84.603,27.799,28.807,27.997,,MEDIUM
PIA,7.0,1.0,84.418,27.738,28.574,28.106,,MEDIUM
PIA,8.0,1.0,84.57,27.665,28.777,28.128,319.0,MEDIUM
PIA,9.0,1.0,84.375,27.637,28.751,27.987,316.0,MEDIUM
PIA,10.0,1.0,84.077,27.687,28.554,27.836,319.0,MEDIUM
PIA,11.0,1.0,84.247,27.6,28.726,27.921,,MEDIUM
PIA,12.0,1.0,84.748,27.848,28.86,28.04,317.0,MEDIUM
PIA,13.0,1.0,84.67,27.747,28.831,28.092,320.0,MEDIUM
PIA,14.0,1.0,85.048,27.812,29.03,28.206,,MEDIUM
PIA,15.0,1.0,85.166,27.84,29.099,28.227,,MEDIUM
PIA,16.0,1.0,89.939,27.891,29.279,32.769,319.0,MEDIUM
PIA,17.0,4.0,104.25,46.989,29.31,27.951,283.0,HARD
PIA,18.0,4.0,84.028,27.464,28.817,27.747,320.0,HARD
PIA,19.0,4.0,84.602,27.593,28.979,28.03,307.0,HARD
PIA,20.0,3.0,83.986,27.418,28.823,27.745,321.0,HARD
PIA,21.0,3.0,83.903,27.438,28.73,27.735,322.0,HARD
PIA,22.0,3.0,83.647,27.447,28.518,27.682,320.0,HARD
PIA,23.0,1.0,83.66,27.398,28.459,27.803,322.0,HARD
PIA,24.0,1.0,83.315,27.339,28.287,27.689,329.0,HARD
PIA,25.0,1.0,83.23,27.46,28.338,27.432,320.0,HARD
PIA,26.0,1.0,83.133,27.441,28.228,27.464,319.0,HARD
PIA,27.0,1.0,83.088,27.455,28.212,27.421,318.0,HARD
PIA,28.0,1.0,83.168,27.391,28.206,27.571,320.0,HARD
