Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,1.0,130.735,,64.045,31.458,184.0,MEDIUM
VER,2.0,1.0,,,56.617,39.032,126.0,MEDIUM
VER,3.0,1.0,,,42.768,18.603,285.0,MEDIUM
VER,4.0,1.0,96.472,34.772,43.042,18.658,284.0,MEDIUM
VER,5.0,1.0,96.437,34.69,43.035,18.712,286.0,MEDIUM
VER,6.0,1.0,96.855,34.965,43.196,18.694,286.0,MEDIUM
VER,7.0,1.0,96.97,34.987,43.3,18.683,284.0,MEDIUM
VER,8.0,1.0,97.329,35.112,43.412,18.805,287.0,MEDIUM
VER,9.0,1.0,97.178,35.132,43.298,18.748,288.0,MEDIUM
VER,10.0,1.0,97.59,35.45,43.353,18.787,286.0,MEDIUM
VER,11.0,1.0,97.774,35.32,43.622,18.832,287.0,MEDIUM
VER,12.0,1.0,97.753,35.415,43.468,18.87,285.0,MEDIUM
VER,13.0,1.0,97.727,35.365,43.511,18.851,288.0,MEDIUM
VER,14.0,1.0,97.91,35.432,43.612,18.866,286.0,MEDIUM
VER,15.0,1.0,97.854,35.465,43.565,18.824,285.0,MEDIUM
VER,16.0,1.0,100.272,35.594,43.595,21.083,286.0,MEDIUM
VER,17.0,2.0,116.478,54.634,43.113,18.731,280.0,MEDIUM
VER,18.0,2.0,96.822,34.981,43.108,18.733,283.0,MEDIUM
VER,19.0,2.0,96.252,34.857,42.769,18.626,286.0,MEDIUM
VER,20.0,2.0,96.402,34.885,42.974,18.543,297.0,MEDIUM
VER,21.0,1.0,95.617,34.242,42.833,18.542,286.0,MEDIUM
VER,22.0,1.0,96.384,34.914,42.902,18.568,286.0,MEDIUM
VER,23.0,1.0,96.205,34.81,42.855,18.54,286.0,MEDIUM
VER,24.0,1.0,96.532,34.895,43.008,18.629,286.0,MEDIUM
VER,25.0,1.0,96.337,34.677,43.075,18.585,287.0,MEDIUM
VER,26.0,1.0,96.437,34.874,42.952,18.611,287.0,MEDIUM
VER,27.0,1.0,96.654,34.936,42.975,18.743,287.0,MEDIUM
VER,28.0,1.0,96.496,34.883,43.01,18.603,287.0,MEDIUM
VER,29.0,1.0,96.655,35.02,43.016,18.619,289.0,MEDIUM
VER,30.0,1.0,96.849,35.05,43.132,18.667,288.0,MEDIUM
VER,31.0,1.0,96.761,34.998,43.147,18.616,289.0,MEDIUM
VER,32.0,1.0,96.92,35.134,43.092,18.694,291.0,MEDIUM
VER,33.0,1.0,97.048,35.182,43.181,18.685,292.0,MEDIUM
VER,34.0,1.0,99.226,35.038,43.228,20.96,293.0,MEDIUM
VER,35.0,2.0,115.503,54.547,42.486,18.47,297.0,HARD
VER,36.0,1.0,94.619,34.203,42.165,18.251,296.0,HARD
VER,37.0,1.0,94.97,34.373,42.368,18.229,298.0,HARD
VER,38.0,1.0,94.986,34.217,42.272,18.497,295.0,HARD
VER,39.0,1.0,94.494,34.097,42.145,18.252,294.0,HARD
VER,40.0,1.0,94.343,33.952,42.124,18.267,295.0,HARD
VER,41.0,1.0,94.273,33.997,42.069,18.207,297.0,HARD
VER,42.0,1.0,94.965,33.901,42.756,18.308,297.0,HARD
VER,43.0,1.0,94.303,33.837,42.139,18.327,297.0,HARD
VER,44.0,1.0,94.455,33.813,42.303,18.339,297.0,HARD
VER,45.0,1.0,94.606,34.085,42.138,18.383,297.0,HARD
VER,46.0,1.0,94.61,34.073,42.272,18.265,301.0,HARD
VER,47.0,1.0,95.113,34.21,42.527,18.376,301.0,HARD
VER,48.0,1.0,95.75,34.496,42.871,18.383,299.0,HARD
VER,49.0,1.0,94.885,34.097,42.487,18.301,302.0,HARD
VER,50.0,1.0,93.706,33.404,42.141,18.161,298.0,HARD
VER,51.0,1.0,94.768,33.964,42.405,18.399,297.0,HARD
VER,52.0,1.0,94.97,34.158,42.422,18.39,299.0,HARD
VER,53.0,1.0,95.263,34.299,42.417,18.547,295.0,HARD
PER,1.0,4.0,132.767,,65.032,31.841,169.0,MEDIUM
PER,2.0,2.0,,,56.894,40.221,152.0,MEDIUM
PER,3.0,2.0,,,42.877,18.696,290.0,MEDIUM
PER,4.0,2.0,96.573,34.694,43.203,18.676,296.0,MEDIUM
PER,5.0,2.0,96.568,34.558,43.311,18.699,297.0,MEDIUM
PER,6.0,2.0,97.693,35.008,43.981,18.704,290.0,MEDIUM
PER,7.0,2.0,97.308,35.091,43.396,18.821,286.0,MEDIUM
PER,8.0,2.0,97.22,35.093,43.381,18.746,295.0,MEDIUM
PER,9.0,2.0,97.838,35.37,43.6,18.868,293.0,MEDIUM
PER,10.0,2.0,97.926,35.593,43.554,18.779,295.0,MEDIUM
PER,11.0,2.0,98.216,35.512,43.802,18.902,292.0,MEDIUM
PER,12.0,2.0,98.156,35.539,43.77,18.847,293.0,MEDIUM
PER,13.0,2.0,98.125,35.462,43.857,18.806,295.0,MEDIUM
PER,14.0,2.0,98.505,35.721,43.889,18.895,292.0,MEDIUM
PER,15.0,2.0,100.906,35.617,43.864,21.425,294.0,MEDIUM
PER,16.0,6.0,114.826,53.869,42.481,18.476,291.0,MEDIUM
PER,17.0,5.0,97.428,34.678,43.951,18.799,284.0,MEDIUM
PER,18.0,4.0,97.844,35.342,43.801,18.701,293.0,MEDIUM
PER,19.0,4.0,96.436,34.925,42.989,18.522,296.0,MEDIUM
PER,20.0,4.0,96.206,34.808,42.946,18.452,298.0,MEDIUM
PER,21.0,4.0,96.558,34.994,43.049,18.515,298.0,MEDIUM
PER,22.0,3.0,97.264,34.92,43.437,18.907,305.0,MEDIUM
PER,23.0,3.0,96.656,34.723,43.265,18.668,297.0,MEDIUM
PER,24.0,3.0,96.921,34.839,43.391,18.691,300.0,MEDIUM
PER,25.0,3.0,97.76,35.304,43.717,18.739,302.0,MEDIUM
PER,26.0,2.0,97.689,35.496,43.536,18.657,291.0,MEDIUM
PER,27.0,2.0,96.843,34.947,43.279,18.617,295.0,MEDIUM
PER,28.0,2.0,96.733,34.875,43.263,18.595,295.0,MEDIUM
PER,29.0,2.0,96.969,35.035,43.263,18.671,296.0,MEDIUM
PER,30.0,2.0,97.097,35.201,43.289,18.607,296.0,MEDIUM
PER,31.0,2.0,97.118,35.15,43.356,18.612,295.0,MEDIUM
PER,32.0,2.0,97.106,35.061,43.365,18.68,297.0,MEDIUM
PER,33.0,2.0,99.409,35.006,43.257,21.146,297.0,MEDIUM
PER,34.0,5.0,114.946,53.934,42.674,18.338,305.0,HARD
PER,35.0,4.0,93.945,33.433,42.191,18.321,305.0,HARD
PER,36.0,3.0,94.479,33.662,42.278,18.539,291.0,HARD
PER,37.0,2.0,94.808,34.02,42.307,18.481,298.0,HARD
PER,38.0,2.0,95.245,34.413,42.385,18.447,298.0,HARD
PER,39.0,2.0,94.99,34.223,42.294,18.473,296.0,HARD
PER,40.0,2.0,94.738,34.051,42.417,18.27,300.0,HARD
PER,41.0,2.0,95.03,34.136,42.423,18.471,301.0,HARD
PER,42.0,2.0,95.433,34.02,43.077,18.336,298.0,HARD
PER,43.0,2.0,95.099,33.973,42.725,18.401,297.0,HARD
PER,44.0,2.0,94.701,34.015,42.339,18.347,297.0,HARD
PER,45.0,2.0,94.996,34.1,42.464,18.432,295.0,HARD
PER,46.0,2.0,94.75,33.927,42.397,18.426,297.0,HARD
PER,47.0,2.0,95.056,34.058,42.474,18.524,298.0,HARD
PER,48.0,2.0,95.383,34.198,42.525,18.66,290.0,HARD
PER,49.0,2.0,95.035,34.003,42.537,18.495,295.0,HARD
PER,50.0,2.0,95.244,34.117,42.587,18.54,293.0,HARD
PER,51.0,2.0,94.89,33.957,42.55,18.383,300.0,HARD
PER,52.0,2.0,94.929,34.13,42.407,18.392,299.0,HARD
PER,53.0,2.0,94.728,33.931,42.384,18.413,301.0,HARD
SAI,1.0,6.0,137.613,,67.997,32.076,180.0,MEDIUM
SAI,2.0,4.0,,,55.565,41.069,244.0,MEDIUM
SAI,3.0,4.0,,,43.105,18.553,301.0,MEDIUM
SAI,4.0,4.0,97.225,35.406,43.259,18.56,300.0,MEDIUM
SAI,5.0,4.0,97.322,35.099,43.533,18.69,299.0,MEDIUM
SAI,6.0,4.0,97.721,35.423,43.562,18.736,297.0,MEDIUM
SAI,7.0,4.0,97.756,35.53,43.673,18.553,297.0,MEDIUM
SAI,8.0,4.0,97.736,35.544,43.61,18.582,299.0,MEDIUM
SAI,9.0,4.0,97.98,35.633,43.626,18.721,299.0,MEDIUM
SAI,10.0,4.0,98.304,35.782,43.746,18.776,298.0,MEDIUM
SAI,11.0,3.0,98.273,35.648,43.93,18.695,298.0,MEDIUM
SAI,12.0,3.0,97.847,35.511,43.617,18.719,296.0,MEDIUM
SAI,13.0,3.0,98.333,35.776,43.833,18.724,295.0,MEDIUM
