Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
SAI,1.0,4.0,107.224,,41.495,33.841,310.0,MEDIUM
SAI,2.0,2.0,137.937,61.514,46.266,30.157,194.0,MEDIUM
SAI,3.0,2.0,133.771,56.743,47.358,29.67,142.0,MEDIUM
SAI,4.0,2.0,130.043,52.782,46.662,30.599,122.0,MEDIUM
SAI,5.0,2.0,129.925,53.462,46.644,29.819,158.0,MEDIUM
SAI,6.0,2.0,123.834,39.596,45.875,38.363,236.0,MEDIUM
SAI,7.0,2.0,81.83,29.087,32.01,20.733,329.0,MEDIUM
SAI,8.0,2.0,81.284,28.895,31.701,20.688,328.0,MEDIUM
SAI,9.0,1.0,82.493,29.146,31.928,21.419,349.0,MEDIUM
SAI,10.0,1.0,82.438,29.324,32.102,21.012,325.0,MEDIUM
SAI,11.0,1.0,81.847,28.985,31.92,20.942,324.0,MEDIUM
SAI,12.0,1.0,81.515,28.823,31.839,20.853,325.0,MEDIUM
SAI,13.0,1.0,81.715,28.874,31.883,20.958,326.0,MEDIUM
SAI,14.0,1.0,81.475,28.768,31.854,20.853,,MEDIUM
SAI,15.0,1.0,81.516,28.727,31.823,20.966,328.0,MEDIUM
SAI,16.0,1.0,81.59,28.701,31.876,21.013,,MEDIUM
SAI,17.0,1.0,82.012,28.9,31.961,21.151,,MEDIUM
SAI,18.0,1.0,81.765,28.807,31.934,21.024,,MEDIUM
SAI,19.0,1.0,81.715,28.811,31.924,20.98,326.0,MEDIUM
SAI,20.0,1.0,81.789,28.957,31.824,21.008,325.0,MEDIUM
SAI,21.0,1.0,81.413,28.682,31.785,20.946,326.0,MEDIUM
SAI,22.0,1.0,81.682,28.654,31.924,21.104,328.0,MEDIUM
SAI,23.0,1.0,81.516,28.655,31.857,21.004,,MEDIUM
SAI,24.0,1.0,81.428,28.561,31.905,20.962,329.0,MEDIUM
SAI,25.0,1.0,81.659,28.859,31.886,20.914,,MEDIUM
SAI,26.0,1.0,81.596,28.674,31.979,20.943,,MEDIUM
SAI,27.0,1.0,81.827,28.75,31.966,21.111,328.0,MEDIUM
SAI,28.0,1.0,82.008,28.762,32.162,21.084,330.0,MEDIUM
SAI,29.0,1.0,81.869,28.854,31.904,21.111,328.0,MEDIUM
SAI,30.0,1.0,81.837,28.663,31.957,21.217,,MEDIUM
SAI,31.0,1.0,82.057,28.694,32.13,21.233,329.0,MEDIUM
SAI,32.0,1.0,85.108,28.685,31.882,24.541,330.0,MEDIUM
SAI,33.0,1.0,99.813,47.345,31.711,20.757,309.0,HARD
SAI,34.0,1.0,81.037,28.632,31.62,20.785,327.0,HARD
SAI,35.0,1.0,81.19,28.596,31.713,20.881,,HARD
SAI,36.0,1.0,81.079,28.522,31.742,20.815,329.0,HARD
SAI,37.0,1.0,81.153,28.639,31.83,20.684,330.0,HARD
SAI,38.0,1.0,80.616,28.497,31.485,20.634,331.0,HARD
SAI,39.0,1.0,80.995,28.653,31.636,20.706,329.0,HARD
SAI,40.0,1.0,80.688,28.49,31.467,20.731,,HARD
SAI,41.0,1.0,80.98,28.619,31.548000000000002,20.813,,HARD
SAI,42.0,1.0,80.939,28.42,31.641,20.878,331.0,HARD
SAI,43.0,1.0,80.84,28.465,31.552,20.823,330.0,HARD
SAI,44.0,1.0,80.806,28.463,31.594,20.749,331.0,HARD
SAI,45.0,1.0,80.582,28.393,31.422,20.767,326.0,HARD
SAI,46.0,1.0,80.592,28.538,31.409,20.645,327.0,HARD
SAI,47.0,1.0,80.375,28.454,31.361,20.56,329.0,HARD
SAI,48.0,1.0,80.747,28.413,31.526,20.808,330.0,HARD
SAI,49.0,1.0,80.815,28.284,31.55,20.981,331.0,HARD
SAI,50.0,1.0,80.733,28.299,31.56,20.874,334.0,HARD
SAI,51.0,1.0,80.825,28.337,31.611,20.877,,HARD
SAI,52.0,1.0,80.965,28.305,31.746,20.914,,HARD
SAI,53.0,1.0,80.719,28.34,31.509,20.87,336.0,HARD
SAI,54.0,1.0,80.65,28.57,31.353,20.727,330.0,HARD
SAI,55.0,1.0,80.306,28.47,31.216,20.62,326.0,HARD
SAI,56.0,1.0,80.256,28.41,31.249,20.597,327.0,HARD
SAI,57.0,1.0,80.315,28.488,31.254,20.573,328.0,HARD
SAI,58.0,1.0,80.341,28.395,31.309,20.637,329.0,HARD
SAI,59.0,1.0,80.73,28.388,31.497,20.845,333.0,HARD
SAI,60.0,1.0,80.326,28.401,31.343,20.582,330.0,HARD
SAI,61.0,1.0,80.215,28.45,31.188,20.576999999999998,328.0,HARD
SAI,62.0,1.0,80.137,28.347,31.255,20.535,,HARD
SAI,63.0,1.0,80.556,28.418,31.409,20.729,327.0,HARD
SAI,64.0,1.0,80.493,28.471,31.309,20.713,330.0,HARD
SAI,65.0,1.0,80.523,28.513,31.361,20.649,331.0,HARD
SAI,66.0,1.0,80.301,28.416,31.193,20.692,,HARD
SAI,67.0,1.0,80.651,28.444,31.433,20.774,,HARD
SAI,68.0,1.0,80.375,28.345,31.352,20.678,333.0,HARD
SAI,69.0,1.0,80.398,28.388,31.374,20.636,,HARD
SAI,70.0,1.0,80.435,28.435,31.311,20.689,,HARD
SAI,71.0,1.0,80.585,28.322,31.472,20.791,334.0,HARD
NOR,1.0,5.0,109.304,,43.772,33.166,310.0,MEDIUM
NOR,2.0,3.0,138.718,61.31,45.418,31.99,236.0,MEDIUM
NOR,3.0,3.0,133.243,55.115,47.546,30.582,132.0,MEDIUM
NOR,4.0,3.0,131.1,53.677,45.306,32.117,178.0,MEDIUM
NOR,5.0,3.0,129.824,52.259,46.781,30.784,197.0,MEDIUM
NOR,6.0,3.0,121.27,38.666,44.346,38.258,292.0,MEDIUM
NOR,7.0,3.0,81.885,29.172,31.879,20.834,324.0,MEDIUM
NOR,8.0,3.0,81.724,29.1,31.845,20.779,326.0,MEDIUM
NOR,9.0,3.0,82.413,28.928,32.012,21.473,327.0,MEDIUM
NOR,10.0,4.0,84.863,28.704,34.408,21.751,353.0,MEDIUM
NOR,11.0,4.0,82.047,28.648,32.423,20.976,354.0,MEDIUM
NOR,12.0,4.0,81.803,28.662,31.975,21.166,344.0,MEDIUM
NOR,13.0,4.0,81.935,28.934,32.0,21.001,330.0,MEDIUM
NOR,14.0,4.0,81.988,28.89,31.885,21.213,329.0,MEDIUM
NOR,15.0,4.0,82.146,28.909,31.85,21.387,331.0,MEDIUM
NOR,16.0,4.0,81.981,28.987,31.782,21.212,329.0,MEDIUM
NOR,17.0,4.0,82.332,29.07,32.04,21.222,,MEDIUM
NOR,18.0,4.0,82.271,29.186,31.902,21.183,327.0,MEDIUM
NOR,19.0,4.0,82.393,29.06,31.986,21.347,328.0,MEDIUM
NOR,20.0,4.0,82.352,28.902,32.065,21.385,327.0,MEDIUM
NOR,21.0,4.0,82.137,28.944,31.967,21.226,,MEDIUM
NOR,22.0,4.0,82.311,28.867,32.062,21.382,329.0,MEDIUM
NOR,23.0,4.0,82.29,28.92,32.073,21.297,330.0,MEDIUM
NOR,24.0,4.0,82.062,28.859,31.945,21.258,329.0,MEDIUM
NOR,25.0,4.0,82.535,28.689,32.449,21.397,350.0,MEDIUM
NOR,26.0,3.0,82.63,28.806,32.382,21.442,351.0,MEDIUM
NOR,27.0,3.0,82.185,28.66,32.055,21.47,344.0,MEDIUM
NOR,28.0,3.0,82.676,29.154,32.132,21.39,325.0,MEDIUM
NOR,29.0,3.0,82.735,29.187,32.054,21.494,324.0,MEDIUM
NOR,30.0,3.0,86.051,29.092,32.265,24.694,,MEDIUM
NOR,31.0,4.0,99.899,47.651,31.584,20.664,304.0,HARD
NOR,32.0,3.0,81.052,28.727,31.436,20.889,325.0,HARD
NOR,33.0,3.0,80.859,28.626,31.504,20.729,324.0,HARD
NOR,34.0,3.0,80.881,28.67,31.469,20.742,325.0,HARD
NOR,35.0,3.0,80.697,28.606,31.438,20.653,,HARD
NOR,36.0,3.0,80.703,28.647,31.322,20.734,327.0,HARD
NOR,37.0,3.0,81.008,28.705,31.635,20.668,322.0,HARD
NOR,38.0,3.0,80.868,28.49,31.52,20.858,327.0,HARD
NOR,39.0,3.0,80.71,28.645,31.384,20.681,326.0,HARD
NOR,40.0,3.0,80.845,28.657,31.321,20.867,,HARD
NOR,41.0,3.0,80.768,28.731,31.269,20.768,325.0,HARD
NOR,42.0,3.0,80.451,28.484,31.237,20.73,328.0,HARD
NOR,43.0,3.0,80.687,28.598,31.245,20.844,327.0,HARD
NOR,44.0,3.0,80.385,28.529,31.14,20.716,,HARD
NOR,45.0,3.0,80.37,28.521,31.128,20.721,,HARD
NOR,46.0,3.0,80.221,28.368,31.115,20.738,326.0,HARD
NOR,47.0,3.0,80.561,28.651,31.219,20.691,327.0,HARD
NOR,48.0,3.0,80.443,28.494,31.21,20.739,328.0,HARD
NOR,49.0,3.0,80.638,28.47,31.248,20.92,329.0,HARD
NOR,50.0,3.0,80.545,28.418,31.298,20.829,332.0,HARD
NOR,51.0,3.0,80.405,28.509,31.244,20.652,,HARD
NOR,52.0,3.0,80.474,28.431,31.155,20.888,331.0,HARD
NOR,53.0,3.0,80.471,28.4,31.304,20.767,,HARD
NOR,54.0,3.0,80.667,28.479,31.273,20.915,332.0,HARD
NOR,55.0,3.0,80.398,28.412,31.209,20.777,,HARD
NOR,56.0,3.0,80.509,28.332,31.315,20.862,,HARD
NOR,57.0,3.0,80.271,28.028,31.418,20.825,352.0,HARD
NOR,58.0,3.0,80.405,28.361,31.2,20.844,354.0,HARD
NOR,59.0,3.0,80.163,28.017,31.301,20.845,,HARD
NOR,60.0,3.0,80.272,28.359,31.121,20.792,333.0,HARD
NOR,61.0,3.0,80.045,28.404,30.996,20.645,,HARD
NOR,62.0,3.0,80.141,27.963,31.312,20.866,352.0,HARD
NOR,63.0,2.0,79.858,28.001,31.117,20.74,349.0,HARD
NOR,64.0,2.0,80.494,28.49,31.237,20.767,330.0,HARD
NOR,65.0,2.0,80.194,28.471,31.115,20.608,332.0,HARD
NOR,66.0,2.0,80.274,28.545,31.029,20.7,326.0,HARD
NOR,67.0,2.0,79.972,28.493,30.94,20.539,327.0,HARD
NOR,68.0,2.0,79.691,28.348,30.911,20.432,328.0,HARD
NOR,69.0,2.0,79.922,28.446,30.93,20.546,,HARD
NOR,70.0,2.0,79.721,28.357,30.826,20.538,329.0,HARD
NOR,71.0,2.0,80.363,28.286,31.298,20.779,330.0,HARD
LEC,1.0,6.0,110.826,,45.457,32.657,319.0,MEDIUM
LEC,2.0,4.0,138.252,61.38,46.583,30.289,169.0,MEDIUM
LEC,3.0,4.0,134.94,55.586,48.232,31.122,127.0,MEDIUM
LEC,4.0,4.0,130.481,54.138,43.982,32.361,165.0,MEDIUM
LEC,5.0,4.0,130.248,52.176,47.109,30.963,162.0,MEDIUM
LEC,6.0,4.0,119.324,37.88,44.003,37.441,247.0,MEDIUM
LEC,7.0,4.0,82.154,28.82,32.362,20.972,324.0,MEDIUM
LEC,8.0,4.0,81.865,28.864,32.118,20.883,332.0,MEDIUM
LEC,9.0,4.0,82.101,28.266,32.465,21.37,352.0,MEDIUM
LEC,10.0,2.0,82.481,28.707,32.745,21.029,343.0,MEDIUM
LEC,11.0,2.0,81.423,28.729,31.756,20.938,328.0,MEDIUM
LEC,12.0,2.0,81.262,28.641,31.698,20.923000000000002,331.0,MEDIUM
LEC,13.0,2.0,81.776,28.809,31.907,21.06,332.0,MEDIUM
LEC,14.0,2.0,81.31,28.658,31.629,21.023,,MEDIUM
LEC,15.0,2.0,82.212,28.416,32.552,21.244,345.0,MEDIUM
LEC,16.0,2.0,81.621,28.621,31.837,21.163,333.0,MEDIUM
LEC,17.0,2.0,81.86,28.671,31.866,21.323,332.0,MEDIUM
LEC,18.0,2.0,82.141,28.845,31.984,21.312,333.0,MEDIUM
LEC,19.0,2.0,82.216,28.818,32.111,21.287,328.0,MEDIUM
LEC,20.0,2.0,81.793,28.643,32.002,21.148,330.0,MEDIUM
LEC,21.0,2.0,81.954,28.704,32.089,21.161,,MEDIUM
LEC,22.0,2.0,82.249,28.687,32.297,21.265,327.0,MEDIUM
LEC,23.0,2.0,81.938,28.668,32.054,21.216,331.0,MEDIUM
LEC,24.0,2.0,81.904,28.608,32.162,21.134,,MEDIUM
LEC,25.0,2.0,82.076,28.855,31.95,21.271,,MEDIUM
LEC,26.0,2.0,82.359,28.85,32.135,21.374,330.0,MEDIUM
LEC,27.0,2.0,82.743,28.995,32.257,21.491,,MEDIUM
LEC,28.0,2.0,82.589,28.85,32.202,21.537,,MEDIUM
LEC,29.0,2.0,82.33,28.883,32.058,21.389,328.0,MEDIUM
LEC,30.0,2.0,82.322,28.733,32.3,21.289,329.0,MEDIUM
LEC,31.0,2.0,85.993,28.865,32.46,24.668,,MEDIUM
LEC,32.0,2.0,100.618,47.972,31.816,20.83,310.0,HARD
LEC,33.0,2.0,80.975,28.547,31.547,20.881,327.0,HARD
LEC,34.0,2.0,80.847,28.527,31.459,20.861,329.0,HARD
LEC,35.0,2.0,80.675,28.498,31.474,20.703,,HARD
LEC,36.0,2.0,80.849,28.515,31.553,20.781,331.0,HARD
LEC,37.0,2.0,80.831,28.574,31.407,20.85,,HARD
LEC,38.0,2.0,80.577,28.469,31.426,20.682,332.0,HARD
LEC,39.0,2.0,80.843,28.607,31.312,20.924,331.0,HARD
LEC,40.0,2.0,80.722,28.534,31.375,20.813,329.0,HARD
LEC,41.0,2.0,80.755,28.556,31.359,20.84,330.0,HARD
LEC,42.0,2.0,80.58,28.408,31.39,20.782,332.0,HARD
LEC,43.0,2.0,80.577,28.389,31.399,20.789,331.0,HARD
LEC,44.0,2.0,80.623,28.448,31.379,20.796,332.0,HARD
LEC,45.0,2.0,80.581,28.432,31.39,20.759,326.0,HARD
LEC,46.0,2.0,80.542,28.39,31.322,20.83,325.0,HARD
