Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,1.0,94.338,,34.99,26.211,305.0,MEDIUM
VER,2.0,1.0,93.093,31.455,35.489,26.149,303.0,MEDIUM
VER,3.0,1.0,93.137,31.551,35.472,26.114,309.0,MEDIUM
VER,4.0,1.0,93.504,31.508,35.686,26.31,309.0,MEDIUM
VER,5.0,1.0,92.834,31.318,35.41,26.106,306.0,MEDIUM
VER,6.0,1.0,92.939,31.528,35.395,26.016,308.0,MEDIUM
VER,7.0,1.0,92.895,31.547,35.239,26.109,309.0,MEDIUM
VER,8.0,1.0,92.838,31.563,35.266,26.009,311.0,MEDIUM
VER,9.0,1.0,93.289,31.903,35.254,26.132,309.0,MEDIUM
VER,10.0,1.0,93.267,31.73,35.448,26.089,311.0,MEDIUM
VER,11.0,1.0,93.501,31.72,35.573,26.208,301.0,MEDIUM
VER,12.0,1.0,93.097,31.605,35.354,26.138,309.0,MEDIUM
VER,13.0,1.0,93.129,31.578,35.441,26.11,310.0,MEDIUM
VER,14.0,1.0,92.918,31.442,35.397,26.079,310.0,MEDIUM
VER,15.0,1.0,92.807,31.402,35.279,26.126,311.0,MEDIUM
VER,16.0,1.0,92.749,31.413,35.262,26.074,309.0,MEDIUM
VER,17.0,1.0,92.92,31.36,35.419,26.141,308.0,MEDIUM
VER,18.0,1.0,93.022,31.388,35.398,26.236,309.0,MEDIUM
VER,19.0,1.0,92.668,31.331,35.313,26.024,310.0,MEDIUM
VER,20.0,1.0,92.53,31.249,35.307,25.974,308.0,MEDIUM
VER,21.0,1.0,92.926,31.35,35.491,26.085,310.0,MEDIUM
VER,22.0,1.0,92.906,31.387,35.453,26.066,310.0,MEDIUM
VER,23.0,2.0,111.938,34.111,46.78,31.047,317.0,MEDIUM
VER,24.0,4.0,107.087,45.854,35.283,25.95,307.0,HARD
VER,25.0,4.0,92.298,31.146,35.182,25.97,309.0,HARD
VER,26.0,4.0,92.41,31.18,35.194,26.036,310.0,HARD
VER,27.0,4.0,92.515,31.06,35.072,26.383,310.0,HARD
VER,28.0,2.0,99.376,30.997,35.165,33.214,311.0,HARD
VER,29.0,2.0,146.519,48.739,56.064,41.716,125.0,HARD
VER,30.0,2.0,124.42,58.171,37.695,28.554,272.0,HARD
VER,31.0,2.0,101.077,36.388,37.212,27.477,291.0,HARD
VER,32.0,2.0,,58.501,58.369,38.163,107.0,HARD
VER,33.0,2.0,92.227,31.596,34.889,25.742,313.0,HARD
VER,34.0,2.0,91.611,30.895,34.877,25.839,313.0,HARD
VER,35.0,2.0,91.409,30.803,34.769,25.837,314.0,HARD
VER,36.0,2.0,91.456,30.881,34.84,25.735,313.0,HARD
VER,37.0,2.0,91.377,30.791,34.863,25.723,314.0,HARD
VER,38.0,2.0,91.526,30.847,34.938,25.741,313.0,HARD
VER,39.0,2.0,91.336,30.814,34.729,25.793,313.0,HARD
VER,40.0,2.0,91.487,30.938,34.881,25.668,315.0,HARD
VER,41.0,2.0,91.375,30.793,34.854,25.728,313.0,HARD
VER,42.0,2.0,91.455,30.89,34.778,25.787,313.0,HARD
VER,43.0,2.0,91.435,30.842,34.871,25.722,314.0,HARD
VER,44.0,2.0,91.452,30.814,34.908,25.73,315.0,HARD
VER,45.0,2.0,91.537,30.84,34.912,25.785,313.0,HARD
VER,46.0,2.0,91.788,30.951,35.099,25.738,314.0,HARD
VER,47.0,2.0,91.513,30.859,34.977,25.677,313.0,HARD
VER,48.0,2.0,91.261,30.775,34.797,25.689,313.0,HARD
VER,49.0,2.0,91.597,30.695,35.124,25.778,313.0,HARD
VER,50.0,2.0,91.338,30.531,35.085,25.722,314.0,HARD
VER,51.0,2.0,91.284,30.587,34.98,25.717,312.0,HARD
VER,52.0,2.0,91.428,30.619,35.113,25.696,311.0,HARD
VER,53.0,2.0,91.473,30.632,35.137,25.704,313.0,HARD
VER,54.0,2.0,91.546,30.627,35.09,25.829,312.0,HARD
VER,55.0,2.0,91.408,30.725,34.948,25.735,314.0,HARD
VER,56.0,2.0,91.49,30.749,34.993,25.748,311.0,HARD
VER,57.0,2.0,91.699,30.817,35.101,25.781,313.0,HARD
GAS,1.0,13.0,103.357,,37.045,26.06,325.0,MEDIUM
GAS,2.0,12.0,94.498,32.446,35.776,26.276,308.0,MEDIUM
GAS,3.0,12.0,93.789,32.069,35.794,25.926,328.0,MEDIUM
GAS,4.0,12.0,94.155,32.206,35.91,26.039,329.0,MEDIUM
GAS,5.0,12.0,94.19,32.047,36.003,26.14,327.0,MEDIUM
GAS,6.0,12.0,94.004,32.323,35.683,25.998,328.0,MEDIUM
GAS,7.0,12.0,94.291,32.199,35.947,26.145,317.0,MEDIUM
GAS,8.0,12.0,93.804,32.029,35.732,26.043,334.0,MEDIUM
GAS,9.0,12.0,93.953,32.218,35.792,25.943,330.0,MEDIUM
GAS,10.0,12.0,94.731,32.394,36.14,26.197,325.0,MEDIUM
GAS,11.0,11.0,94.743,32.595,35.978,26.17,316.0,MEDIUM
GAS,12.0,14.0,99.216,32.204,35.984,31.028,324.0,MEDIUM
GAS,13.0,16.0,108.014,46.719,35.395,25.9,330.0,HARD
GAS,14.0,16.0,93.375,31.826999999999998,35.517,26.031,322.0,HARD
GAS,15.0,16.0,92.994,31.68,35.328,25.986,322.0,HARD
GAS,16.0,16.0,93.554,32.027,35.55,25.977,326.0,HARD
GAS,17.0,16.0,93.53,31.718,35.756,26.056,342.0,HARD
GAS,18.0,16.0,93.807,31.886,35.734,26.187,325.0,HARD
GAS,19.0,16.0,93.174,31.708,35.489,25.977,328.0,HARD
GAS,20.0,16.0,93.639,31.804,35.75,26.085,321.0,HARD
GAS,21.0,16.0,93.691,32.01,35.71,25.971,326.0,HARD
GAS,22.0,16.0,101.221,31.767,35.565,33.889,216.0,HARD
GAS,23.0,15.0,101.202,38.77,36.364,26.068,336.0,HARD
GAS,24.0,15.0,93.983,32.199,35.838,25.946,326.0,HARD
GAS,25.0,15.0,93.969,31.96,35.869,26.14,318.0,HARD
GAS,26.0,15.0,94.44,32.166,36.256,26.018,321.0,HARD
GAS,27.0,14.0,93.614,31.722,35.75,26.142,327.0,HARD
GAS,28.0,14.0,111.06,31.704,45.002,34.354,260.0,HARD
GAS,29.0,12.0,129.131,45.413,48.733,34.985,249.0,HARD
GAS,30.0,12.0,115.163,40.598,44.268,30.297,277.0,HARD
GAS,31.0,12.0,109.074,40.367,39.838,28.869,297.0,HARD
GAS,32.0,12.0,130.975,44.099,56.133,30.743,259.0,HARD
GAS,33.0,12.0,94.561,32.141,36.172,26.248,320.0,HARD
GAS,34.0,12.0,93.201,32.052,35.338,25.811,334.0,HARD
GAS,35.0,12.0,92.863,31.554,35.424,25.885,330.0,HARD
GAS,36.0,12.0,92.878,31.568,35.461,25.849,324.0,HARD
GAS,37.0,12.0,92.785,31.498,35.326,25.961,320.0,HARD
GAS,38.0,12.0,92.989,31.539,35.367,26.083,318.0,HARD
GAS,39.0,12.0,93.007,31.646,35.433,25.928,320.0,HARD
GAS,40.0,12.0,92.786,31.505,35.387,25.894,317.0,HARD
GAS,41.0,11.0,93.001,31.444,35.564,25.993,318.0,HARD
GAS,42.0,11.0,92.627,31.358,35.385,25.884,319.0,HARD
GAS,43.0,11.0,92.504,31.207,35.367,25.93,319.0,HARD
GAS,44.0,11.0,92.855,31.363,35.365,26.127,315.0,HARD
GAS,45.0,11.0,92.981,31.443,35.503,26.035,318.0,HARD
GAS,46.0,12.0,94.341,32.812,35.552,25.977,319.0,HARD
GAS,47.0,12.0,92.767,31.428,35.452,25.887,320.0,HARD
GAS,48.0,12.0,92.628,31.408,35.311,25.909,326.0,HARD
GAS,49.0,12.0,92.72,31.197,35.523,26.0,324.0,HARD
GAS,50.0,12.0,92.492,31.06,35.446,25.986,316.0,HARD
GAS,51.0,12.0,92.522,31.064,35.506,25.951999999999998,318.0,HARD
GAS,52.0,12.0,92.643,31.129,35.437,26.077,317.0,HARD
GAS,53.0,12.0,92.256,30.857,35.415,25.984,318.0,HARD
GAS,54.0,12.0,92.285,30.991,35.367,25.927,317.0,HARD
GAS,55.0,12.0,92.326,31.042,35.348,25.936,318.0,HARD
GAS,56.0,12.0,92.055,30.999,35.221,25.835,323.0,HARD
GAS,57.0,12.0,92.42,31.145,35.328,25.947,324.0,HARD
PER,1.0,5.0,98.282,,35.815,25.988,314.0,MEDIUM
PER,2.0,5.0,93.181,31.695,35.497,25.989,310.0,MEDIUM
PER,3.0,5.0,93.521,31.821,35.548,26.152,302.0,MEDIUM
PER,4.0,5.0,93.425,31.725,35.532,26.168,307.0,MEDIUM
PER,5.0,5.0,93.318,31.829,35.42,26.069,312.0,MEDIUM
PER,6.0,5.0,93.198,31.696,35.537,25.965,316.0,MEDIUM
PER,7.0,5.0,93.175,31.579,35.546,26.05,313.0,MEDIUM
PER,8.0,5.0,93.147,31.845,35.375,25.927,314.0,MEDIUM
PER,9.0,5.0,93.49,31.967,35.492,26.031,315.0,MEDIUM
PER,10.0,5.0,93.579,31.951999999999998,35.658,25.969,317.0,MEDIUM
PER,11.0,5.0,93.532,31.769,35.672,26.091,305.0,MEDIUM
PER,12.0,5.0,93.755,31.911,35.596,26.248,311.0,MEDIUM
PER,13.0,5.0,93.971,31.964,35.848,26.159,311.0,MEDIUM
PER,14.0,5.0,93.832,31.882,35.804,26.146,311.0,MEDIUM
PER,15.0,5.0,93.337,31.567,35.705,26.065,310.0,MEDIUM
PER,16.0,5.0,93.174,31.535,35.654,25.985,317.0,MEDIUM
PER,17.0,6.0,98.985,31.643,35.746,31.596,321.0,MEDIUM
PER,18.0,10.0,106.549,45.577,35.222,25.75,323.0,HARD
