Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
LEC,1.0,1.0,2456.33,,46.389,,270.0,MEDIUM
LEC,2.0,1.0,,26.854,41.743,,241.0,HARD
LEC,3.0,1.0,84.624,24.007,38.235,22.382,269.0,HARD
LEC,4.0,1.0,82.625,21.892,38.779,21.954,269.0,HARD
LEC,5.0,1.0,81.795,21.314,38.513,21.968,271.0,HARD
LEC,6.0,1.0,81.145,21.568,38.168,21.409,271.0,HARD
LEC,7.0,1.0,80.98,21.37,38.056,21.554,271.0,HARD
LEC,8.0,1.0,81.03,21.25,38.171,21.609,270.0,HARD
LEC,9.0,1.0,80.114,21.092,37.612,21.41,271.0,HARD
LEC,10.0,1.0,80.775,21.036,37.886,21.853,271.0,HARD
LEC,11.0,1.0,81.046,21.279,38.236,21.531,271.0,HARD
LEC,12.0,1.0,80.252,20.949,37.73,21.573,271.0,HARD
LEC,13.0,1.0,79.017,20.818,36.898,21.301,272.0,HARD
LEC,14.0,1.0,79.913,20.847,38.003,21.063,270.0,HARD
LEC,15.0,1.0,79.838,20.763,37.77,21.305,272.0,HARD
LEC,16.0,1.0,80.156,21.139,37.516,21.501,272.0,HARD
LEC,17.0,1.0,80.279,20.925,37.498,21.856,273.0,HARD
LEC,18.0,1.0,79.58,20.612,37.578,21.39,273.0,HARD
LEC,19.0,1.0,78.842,20.806,36.89,21.146,273.0,HARD
LEC,20.0,1.0,78.724,20.573,37.018,21.133,272.0,HARD
LEC,21.0,1.0,78.472,20.609,36.874,20.989,272.0,HARD
LEC,22.0,1.0,78.62,20.591,37.004,21.025,272.0,HARD
LEC,23.0,1.0,78.458,20.638,36.755,21.065,273.0,HARD
LEC,24.0,1.0,78.725,20.436,37.261,21.028,273.0,HARD
LEC,25.0,1.0,78.973,20.408,37.435,21.13,273.0,HARD
LEC,26.0,1.0,78.445,20.305,37.048,21.092,273.0,HARD
LEC,27.0,1.0,78.351,20.507,36.769,21.075,275.0,HARD
LEC,28.0,1.0,78.71,20.535,37.208,20.967,274.0,HARD
LEC,29.0,1.0,79.053,20.429,37.312,21.312,275.0,HARD
LEC,30.0,1.0,79.935,21.091,37.38,21.464,275.0,HARD
LEC,31.0,1.0,78.393,20.706,36.687,21.0,276.0,HARD
LEC,32.0,1.0,79.125,20.483,37.216,21.426,275.0,HARD
LEC,33.0,1.0,78.494,20.51,36.916,21.068,277.0,HARD
LEC,34.0,1.0,79.319,20.412,37.589,21.318,276.0,HARD
