Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
NOR,1.0,2.0,80.878,,27.269,22.935,203.0,MEDIUM
NOR,2.0,2.0,76.134,26.061,27.155,22.918,282.0,MEDIUM
NOR,3.0,2.0,76.496,25.995,27.72,22.781,281.0,MEDIUM
NOR,4.0,2.0,76.304,25.836,27.683,22.785,287.0,MEDIUM
NOR,5.0,2.0,76.271,25.816,27.72,22.735,289.0,MEDIUM
NOR,6.0,2.0,76.225,25.711,27.752,22.762,292.0,MEDIUM
NOR,7.0,2.0,76.395,25.871,27.748,22.776,290.0,MEDIUM
NOR,8.0,2.0,76.169,25.599,27.831,22.739,296.0,MEDIUM
NOR,9.0,2.0,76.477,25.735,27.79,22.951999999999998,291.0,MEDIUM
NOR,10.0,2.0,76.292,25.695,27.846,22.751,295.0,MEDIUM
NOR,11.0,2.0,76.303,25.733,27.862,22.708,,MEDIUM
NOR,12.0,2.0,76.2,25.704,27.781,22.715,293.0,MEDIUM
NOR,13.0,2.0,76.242,25.881,27.675,22.686,295.0,MEDIUM
NOR,14.0,2.0,76.47,25.717,27.99,22.763,,MEDIUM
NOR,15.0,2.0,76.227,25.761,27.727,22.739,296.0,MEDIUM
NOR,16.0,2.0,75.689,25.6,27.593,22.496,299.0,MEDIUM
NOR,17.0,2.0,76.085,26.095,27.634,22.356,322.0,MEDIUM
NOR,18.0,1.0,76.066,25.695,27.64,22.731,315.0,MEDIUM
NOR,19.0,1.0,75.899,25.522,27.699,22.678,295.0,MEDIUM
NOR,20.0,1.0,76.043,25.647,27.795,22.601,298.0,MEDIUM
NOR,21.0,1.0,75.729,25.557,27.582,22.59,296.0,MEDIUM
NOR,22.0,1.0,75.796,25.536,27.55,22.71,,MEDIUM
NOR,23.0,1.0,75.784,25.513,27.66,22.611,300.0,MEDIUM
NOR,24.0,1.0,75.692,25.568,27.551,22.573,294.0,MEDIUM
NOR,25.0,1.0,75.709,25.53,27.516,22.663,298.0,MEDIUM
NOR,26.0,1.0,75.873,25.544,27.623,22.706,299.0,MEDIUM
NOR,27.0,1.0,75.744,25.533,27.558,22.653,298.0,MEDIUM
NOR,28.0,1.0,79.241,25.572,27.572,26.097,299.0,MEDIUM
NOR,29.0,4.0,95.15,45.664,27.135,22.351,,HARD
NOR,30.0,2.0,74.571,25.3,27.055,22.216,294.0,HARD
NOR,31.0,2.0,74.391,25.109,27.052,22.23,313.0,HARD
NOR,32.0,2.0,74.476,25.183,26.976,22.317,296.0,HARD
