Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,1.0,111.344,,29.908,47.019,237.0,MEDIUM
VER,2.0,1.0,141.257,55.914,43.653,41.69,182.0,MEDIUM
VER,3.0,1.0,137.39,51.955,42.864,42.571,206.0,MEDIUM
VER,4.0,1.0,,48.051,42.711,62.317,165.0,MEDIUM
VER,5.0,1.0,86.724,32.248,29.054,25.422,291.0,MEDIUM
VER,6.0,1.0,86.502,32.141,29.044,25.317,295.0,MEDIUM
VER,7.0,1.0,86.376,32.062,28.973,25.341,296.0,MEDIUM
VER,8.0,1.0,86.28,32.029,29.033,25.218,297.0,MEDIUM
VER,9.0,1.0,86.2,31.963,29.032,25.205,298.0,MEDIUM
VER,10.0,1.0,85.973,31.908,29.002,25.063,,MEDIUM
VER,11.0,1.0,85.808,31.923000000000002,28.93,24.955,299.0,MEDIUM
VER,12.0,1.0,85.903,31.866,29.005,25.032,,MEDIUM
VER,13.0,1.0,85.843,31.903,28.955,24.985,,MEDIUM
VER,14.0,1.0,85.812,31.899,28.998,24.915,,MEDIUM
VER,15.0,1.0,85.698,31.819,28.962,24.917,,MEDIUM
VER,16.0,1.0,85.605,31.776,28.999,24.83,,MEDIUM
VER,17.0,1.0,85.46,31.727,28.954,24.779,,MEDIUM
VER,18.0,1.0,85.079,31.6,28.89,24.589,300.0,MEDIUM
VER,19.0,1.0,85.309,31.713,28.894,24.701999999999998,,MEDIUM
VER,20.0,1.0,84.896,31.57,28.845,24.481,302.0,MEDIUM
VER,21.0,1.0,84.97,31.578,28.803,24.589,,MEDIUM
VER,22.0,1.0,84.908,31.559,28.869,24.48,,MEDIUM
VER,23.0,1.0,84.856,31.542,28.855,24.459,,MEDIUM
VER,24.0,1.0,84.825,31.522,28.842,24.461,303.0,MEDIUM
VER,25.0,1.0,84.702,31.487,28.807,24.408,,MEDIUM
VER,26.0,1.0,84.775,31.528,28.774,24.473,304.0,MEDIUM
VER,27.0,1.0,84.72,31.48,28.776,24.464,,MEDIUM
VER,28.0,1.0,84.719,31.554,28.728,24.437,305.0,MEDIUM
VER,29.0,1.0,84.861,31.506,28.938,24.417,308.0,MEDIUM
VER,30.0,1.0,85.127,32.006,28.661,24.46,294.0,MEDIUM
VER,31.0,1.0,84.413,31.331,28.66,24.422,302.0,MEDIUM
VER,32.0,1.0,84.427,31.35,28.605,24.472,304.0,MEDIUM
VER,33.0,1.0,84.35,31.382,28.648,24.32,,MEDIUM
VER,34.0,1.0,84.468,31.402,28.639,24.427,,MEDIUM
VER,35.0,1.0,92.307,31.358,28.651,32.298,305.0,MEDIUM
VER,36.0,1.0,,63.617,52.4,53.138,165.0,HARD
VER,37.0,1.0,,73.984,45.776,48.892,64.0,HARD
VER,38.0,1.0,,64.647,45.118,41.324,109.0,HARD
VER,39.0,1.0,146.153,52.041,42.307,51.805,167.0,HARD
VER,40.0,1.0,99.436,32.495,28.608,38.333,292.0,HARD
VER,41.0,1.0,136.076,45.761,45.063,45.252,258.0,HARD
VER,42.0,1.0,149.083,49.03,43.045,57.008,,HARD
VER,43.0,1.0,84.509,31.8,28.273,24.436,294.0,HARD
VER,44.0,1.0,83.533,31.171,28.141,24.221,298.0,HARD
VER,45.0,1.0,83.393,31.026,28.21,24.157,299.0,HARD
VER,46.0,1.0,83.37,31.045,28.104,24.221,301.0,HARD
VER,47.0,1.0,83.303,31.11,28.072,24.121,302.0,HARD
VER,48.0,1.0,83.423,31.055,28.226,24.142,,HARD
VER,49.0,1.0,83.468,31.01,28.159,24.299,,HARD
VER,50.0,1.0,83.321,31.006,28.109,24.206,,HARD
VER,51.0,1.0,83.043,30.912,28.078,24.053,,HARD
VER,52.0,1.0,83.162,30.936,28.109,24.117,,HARD
VER,53.0,1.0,83.132,30.833,28.166,24.133,,HARD
VER,54.0,1.0,83.006,30.855,28.119,24.032,303.0,HARD
VER,55.0,1.0,82.905,30.904,28.005,23.996,,HARD
VER,56.0,1.0,83.369,30.895,28.11,24.364,,HARD
VER,57.0,1.0,83.776,30.933,28.157,24.686,,HARD
GAS,1.0,14.0,130.912,,49.614,42.077,255.0,MEDIUM
GAS,2.0,12.0,143.807,51.905,45.644,46.258,261.0,MEDIUM
GAS,3.0,12.0,139.509,47.334,42.604,49.571,282.0,MEDIUM
GAS,4.0,12.0,133.088,40.906,40.187,51.995,284.0,MEDIUM
GAS,5.0,12.0,91.425,34.282,30.33,26.813,309.0,MEDIUM
GAS,6.0,11.0,88.418,32.726,29.765,25.927,303.0,MEDIUM
GAS,7.0,11.0,87.738,32.521,29.453,25.764,321.0,MEDIUM
