Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
VER,1.0,2.0,83.186,,32.054,23.658,270.0,SOFT
VER,2.0,2.0,79.871,24.201,31.9,23.77,300.0,SOFT
VER,3.0,1.0,79.364,23.249,32.086,24.029,324.0,SOFT
VER,4.0,1.0,80.766,24.251,32.339,24.176,292.0,SOFT
VER,5.0,1.0,80.827,24.165,32.393,24.269,296.0,SOFT
VER,6.0,1.0,80.876,24.212,32.383,24.281,295.0,SOFT
VER,7.0,1.0,80.973,24.231,32.481,24.261,293.0,SOFT
VER,8.0,1.0,80.989,24.111,32.622,24.256,296.0,SOFT
VER,9.0,1.0,81.042,24.174,32.54,24.328,295.0,SOFT
VER,10.0,1.0,81.003,24.129,32.546,24.328,296.0,SOFT
VER,11.0,1.0,80.954,24.127,32.52,24.307,297.0,SOFT
VER,12.0,1.0,81.376,24.149,32.844,24.383,298.0,SOFT
VER,13.0,1.0,80.807,24.043,32.594,24.17,299.0,SOFT
VER,14.0,1.0,80.989,24.034,32.625,24.33,298.0,SOFT
VER,15.0,1.0,81.097,23.972,32.786,24.339,,SOFT
VER,16.0,1.0,81.223,24.044,32.787,24.392,300.0,SOFT
VER,17.0,1.0,84.876,23.941,32.874,28.061,,SOFT
VER,18.0,4.0,97.657,42.077,31.843,23.737,248.0,MEDIUM
VER,19.0,4.0,79.725,23.879,31.93,23.916,300.0,MEDIUM
VER,20.0,4.0,79.966,23.956,32.09,23.92,301.0,MEDIUM
VER,21.0,3.0,80.304,23.689,32.541,24.074,306.0,MEDIUM
VER,22.0,3.0,79.742,23.781,31.974,23.987,301.0,MEDIUM
VER,23.0,3.0,79.605,23.63,32.004,23.971,304.0,MEDIUM
VER,24.0,1.0,79.701,23.648,32.13,23.923000000000002,303.0,MEDIUM
VER,25.0,1.0,79.363,23.625,31.86,23.878,301.0,MEDIUM
VER,26.0,1.0,79.882,23.707,32.317,23.858,302.0,MEDIUM
VER,27.0,1.0,79.694,23.602,32.193,23.899,300.0,MEDIUM
VER,28.0,1.0,80.101,23.824,32.175,24.102,,MEDIUM
VER,29.0,1.0,79.792,23.626,32.14,24.026,299.0,MEDIUM
VER,30.0,1.0,79.807,23.594,32.182,24.031,305.0,MEDIUM
VER,31.0,1.0,80.011,23.599,32.302,24.11,306.0,MEDIUM
VER,32.0,1.0,79.891,23.582,32.211,24.098,304.0,MEDIUM
VER,33.0,1.0,79.836,23.564,32.147,24.125,307.0,MEDIUM
VER,34.0,1.0,79.958,23.606,32.322,24.03,309.0,MEDIUM
VER,35.0,1.0,80.185,23.677,32.325,24.183,308.0,MEDIUM
VER,36.0,1.0,79.926,23.556,32.238,24.132,307.0,MEDIUM
VER,37.0,1.0,79.803,23.554,32.368,23.881,308.0,MEDIUM
VER,38.0,1.0,79.813,23.596,32.132,24.085,306.0,MEDIUM
VER,39.0,1.0,79.669,23.535,32.119,24.015,,MEDIUM
VER,40.0,1.0,80.31,23.602,32.574,24.134,307.0,MEDIUM
VER,41.0,1.0,79.648,23.525,32.142,23.981,304.0,MEDIUM
VER,42.0,1.0,79.92,23.528,32.412,23.98,,MEDIUM
VER,43.0,1.0,80.301,23.469,32.617,24.215,305.0,MEDIUM
VER,44.0,1.0,83.427,23.465,32.256,27.706,303.0,MEDIUM
VER,45.0,3.0,97.053,42.408,31.274,23.371,249.0,SOFT
VER,46.0,3.0,77.886,23.228,31.289,23.369,302.0,SOFT
VER,47.0,2.0,77.998,23.311,31.297,23.39,,SOFT
VER,48.0,1.0,78.416,23.278,31.346,23.792,,SOFT
VER,49.0,1.0,78.254,23.138,31.533,23.583,319.0,SOFT
VER,50.0,1.0,78.074,23.375,31.242,23.457,300.0,SOFT
VER,51.0,1.0,77.958,23.205,31.332,23.421,303.0,SOFT
VER,52.0,1.0,77.931,23.157,31.325,23.449,302.0,SOFT
VER,53.0,1.0,78.14,23.29,31.47,23.38,305.0,SOFT
VER,54.0,1.0,77.776,23.032,31.311,23.433,303.0,SOFT
VER,55.0,1.0,78.021,23.033,31.542,23.446,306.0,SOFT
VER,56.0,1.0,78.354,23.265,31.6,23.489,308.0,SOFT
VER,57.0,1.0,78.127,23.14,31.433,23.554,305.0,SOFT
VER,58.0,1.0,78.187,23.149,31.675,23.363,307.0,SOFT
VER,59.0,1.0,78.114,23.24,31.469,23.405,301.0,SOFT
VER,60.0,1.0,78.165,23.186,31.529,23.45,303.0,SOFT
VER,61.0,1.0,78.36,23.171,31.633,23.556,304.0,SOFT
VER,62.0,1.0,78.301,23.228,31.628,23.445,,SOFT
VER,63.0,1.0,78.543,23.252,31.685,23.606,306.0,SOFT
VER,64.0,1.0,79.072,23.303,31.953,23.816,,SOFT
VER,65.0,1.0,79.467,23.258,32.109,24.1,308.0,SOFT
VER,66.0,1.0,79.774,23.251,32.326,24.197,324.0,SOFT
NOR,1.0,3.0,83.953,,32.415,23.736,270.0,SOFT
NOR,2.0,3.0,80.215,24.31,32.014,23.891,299.0,SOFT
NOR,3.0,3.0,80.243,23.9,32.182,24.161,321.0,SOFT
NOR,4.0,3.0,80.702,24.1,32.487,24.115,318.0,SOFT
NOR,5.0,3.0,81.134,24.079,32.638,24.417,324.0,SOFT
NOR,6.0,3.0,81.056,23.922,32.657,24.477,320.0,SOFT
NOR,7.0,3.0,81.293,23.932,32.784,24.576999999999998,319.0,SOFT
NOR,8.0,3.0,81.443,24.019,32.822,24.602,320.0,SOFT
NOR,9.0,3.0,81.143,23.901,32.724,24.518,322.0,SOFT
NOR,10.0,3.0,81.223,23.826,32.713,24.684,,SOFT
NOR,11.0,3.0,81.285,23.853,32.836,24.596,323.0,SOFT
NOR,12.0,3.0,81.354,23.749,33.038,24.567,324.0,SOFT
NOR,13.0,3.0,81.432,23.8,33.061,24.571,,SOFT
NOR,14.0,3.0,81.66,24.066,32.997,24.597,304.0,SOFT
NOR,15.0,2.0,81.541,24.035,33.019,24.487,,SOFT
NOR,16.0,2.0,80.471,23.589,32.473,24.409,321.0,SOFT
NOR,17.0,2.0,80.908,23.962,32.525,24.421,300.0,SOFT
NOR,18.0,1.0,80.447,23.761,32.426,24.26,298.0,SOFT
NOR,19.0,1.0,80.635,23.817,32.503,24.315,300.0,SOFT
NOR,20.0,1.0,80.816,23.91,32.5,24.406,299.0,SOFT
NOR,21.0,1.0,80.907,23.785,32.582,24.54,301.0,SOFT
NOR,22.0,1.0,80.928,23.695,32.707,24.526,300.0,SOFT
NOR,23.0,1.0,85.185,24.047,32.816,28.322,303.0,SOFT
NOR,24.0,6.0,97.673,42.134,31.7,23.839,250.0,MEDIUM
NOR,25.0,5.0,78.503,23.639,31.468,23.396,304.0,MEDIUM
NOR,26.0,5.0,79.856,23.575,32.235,24.046,328.0,MEDIUM
NOR,27.0,4.0,79.317,23.187,32.184,23.946,327.0,MEDIUM
NOR,28.0,4.0,79.835,23.706,32.04,24.089,306.0,MEDIUM
NOR,29.0,4.0,79.72,23.623,32.04,24.057,,MEDIUM
NOR,30.0,4.0,79.389,23.345,32.137,23.907,327.0,MEDIUM
NOR,31.0,4.0,80.145,23.453,32.544,24.148,332.0,MEDIUM
NOR,32.0,3.0,79.868,23.424,32.334,24.11,329.0,MEDIUM
NOR,33.0,3.0,80.09,23.687,32.334,24.069,307.0,MEDIUM
NOR,34.0,3.0,79.855,23.398,32.415,24.042,329.0,MEDIUM
NOR,35.0,2.0,80.478,23.403,33.064,24.011,331.0,MEDIUM
NOR,36.0,2.0,79.447,23.57,32.069,23.808,301.0,MEDIUM
NOR,37.0,2.0,79.225,23.544,31.916,23.765,306.0,MEDIUM
NOR,38.0,2.0,79.307,23.373,31.974,23.96,308.0,MEDIUM
NOR,39.0,2.0,79.215,23.303,31.976,23.936,307.0,MEDIUM
NOR,40.0,2.0,79.745,23.413,32.253,24.079,309.0,MEDIUM
NOR,41.0,2.0,78.911,23.053,31.906,23.951999999999998,330.0,MEDIUM
NOR,42.0,2.0,79.511,23.355,32.162,23.994,307.0,MEDIUM
NOR,43.0,2.0,79.499,23.235,32.276,23.988,,MEDIUM
NOR,44.0,2.0,79.457,23.023,32.257,24.177,330.0,MEDIUM
NOR,45.0,1.0,78.754,22.921,31.967,23.866,319.0,MEDIUM
NOR,46.0,1.0,79.419,23.405,32.144,23.87,299.0,MEDIUM
NOR,47.0,1.0,82.986,23.251,32.043,27.692,300.0,MEDIUM
NOR,48.0,2.0,97.126,42.327,31.348,23.451,252.0,SOFT
NOR,49.0,2.0,77.377,22.611,31.288,23.478,319.0,SOFT
NOR,50.0,2.0,77.94,23.343,31.289,23.308,299.0,SOFT
NOR,51.0,2.0,77.115,22.626,31.243,23.246,326.0,SOFT
NOR,52.0,2.0,77.654,23.075,31.247,23.332,300.0,SOFT
NOR,53.0,2.0,77.914,23.085,31.416,23.413,303.0,SOFT
NOR,54.0,2.0,77.987,22.985,31.401,23.601,305.0,SOFT
NOR,55.0,2.0,78.363,23.003,31.659,23.701,309.0,SOFT
NOR,56.0,2.0,77.627,22.602,31.61,23.415,329.0,SOFT
NOR,57.0,2.0,77.893,23.016,31.295,23.582,306.0,SOFT
NOR,58.0,2.0,78.259,23.045,31.629,23.585,309.0,SOFT
NOR,59.0,2.0,77.945,22.976,31.411,23.558,304.0,SOFT
NOR,60.0,2.0,78.271,22.995,31.68,23.596,309.0,SOFT
NOR,61.0,2.0,77.805,22.595,31.667,23.543,329.0,SOFT
NOR,62.0,2.0,78.08,23.013,31.558,23.509,307.0,SOFT
NOR,63.0,2.0,78.174,22.953,31.706,23.515,309.0,SOFT
NOR,64.0,2.0,78.282,22.868,31.704,23.71,308.0,SOFT
NOR,65.0,2.0,78.773,22.909,31.991,23.873,309.0,SOFT
NOR,66.0,2.0,79.682,23.436,32.053,24.193,310.0,SOFT
HAM,1.0,4.0,84.441,,32.524,23.875,282.0,SOFT
HAM,2.0,4.0,80.594,24.248,32.276,24.07,296.0,SOFT
HAM,3.0,4.0,80.421,23.619,32.545,24.257,328.0,SOFT
HAM,4.0,4.0,80.496,23.788,32.624,24.084,324.0,SOFT
HAM,5.0,4.0,81.05,23.672,32.908,24.47,329.0,SOFT
HAM,6.0,4.0,81.2,23.8,32.807,24.593,331.0,SOFT
HAM,7.0,4.0,81.223,23.881,32.887,24.455,327.0,SOFT
HAM,8.0,4.0,81.538,23.96,32.882,24.696,330.0,SOFT
HAM,9.0,4.0,81.207,23.689,32.891,24.627,329.0,SOFT
HAM,10.0,4.0,81.38,23.678,33.191,24.511,330.0,SOFT
HAM,11.0,4.0,81.192,23.838,32.888,24.466,308.0,SOFT
HAM,12.0,4.0,81.505,23.811,33.079,24.615,,SOFT
HAM,13.0,4.0,81.45,23.771,32.954,24.725,,SOFT
HAM,14.0,4.0,81.601,23.932,32.988,24.681,305.0,SOFT
HAM,15.0,3.0,81.977,23.995,33.298,24.684,306.0,SOFT
